Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
SPACES OF EXCEPTION,2023,"Matt Peterson, Malek Rasamny",2025-04-23 18:00:00+00:00,2025-04-23,18:00:00
ROUNDABOUT,2025,Various directors,2025-04-24 18:00:00+00:00,2025-04-24,18:00:00
TO A LAND UNKNOWN,2024,Mahdi Fleifel,2025-04-25 20:00:00+00:00,2025-04-25,20:00:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-26 14:00:00+00:00,2025-04-26,14:00:00
"JANIN, JENIN",2024,Mohammad Bakri,2025-04-26 19:00:00+00:00,2025-04-26,19:00:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27 14:00:00+00:00,2025-04-27,14:00:00
DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27 17:00:00+00:00,2025-04-27,17:00:00
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28 18:00:00+00:00,2025-04-28,18:00:00
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29 18:00:00+00:00,2025-04-29,18:00:00
AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01 18:00:00+00:00,2025-05-01,18:00:00
"JANIN, JENIN",2024,Mohammad Bakri,2025-05-01 20:30:00+00:00,2025-05-01,20:30:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27 14:00:00+00:00,2025-04-27,14:00:00
DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27 17:00:00+00:00,2025-04-27,17:00:00
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28 18:00:00+00:00,2025-04-28,18:00:00
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29 18:00:00+00:00,2025-04-29,18:00:00
AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01 18:00:00+00:00,2025-05-01,18:00:00
"JANIN, JENIN",2024,Mohammad Bakri,2025-05-01 20:30:00+00:00,2025-05-01,20:30:00
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,2025-05-04 13:30:00+00:00,2025-05-04,13:30:00
DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,2025-05-04 16:00:00+00:00,2025-05-04,16:00:00
FORGETTING VIETNAM,2016,Trinh T. Minh-ha,2025-05-06 18:00:00+00:00,2025-05-06,18:00:00
