,Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
10,"HIROSHIMA, MON AMOUR",1959,Alain Resnais,92,Shadows of War Lecture Series,,France/Japan,In French and Japanese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//hiroshima-mon-amour,"HIROSHIMA, MON AMOUR","Excluded from the official selection at the 1959 Cannes film festival because of concern that its sensitive subject matter about nuclear bombs might upset the US government, HIROSHIMA, MON AMOUR is told in a series of flashbacks, documenting intensely personal conversations between a French actress and a Japanese architect. The actress recounts the aftermath of the atomic bombing of Hiroshima, the architect is from a family who died in the explosion."
11,I AM A COMEDIAN,2022,Fumiari Hyūga,108,,Director In Attendance,South Korea/Japan,In English and Japanese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//i-am-comedian,I AM A COMEDIAN,"Daisuke Muramoto won Japan’s top comedy champion title before becoming a regular on television, gaining recognition as a leading comedian. But under the conservative political regime, freedom of speech in Japanese media and public discourse began to erode. Disillusioned, Muramoto left television and shifted to stand-up comedy in communities nationwide. I AM A COMEDIAN highlights Muramoto’s engagement with audiences, where he crafts comedy addressing societal contradictions and empowering marginalized voices, using humor to confront injustices while navigating criticism and personal struggles. Dialogue: Director Fumiari Hyūga and comedian Daisuke Muramoto."
12,PREEMPTIVE LISTENING,2024,Aura Satz,89,Conversations at the Edge,Artist Dialogue,UK/Finland,In English | Format: Digital,https://www.siskelfilmcenter.org//preemptive-listening,Aura Satz: PREEMPTIVE LISTENING,"Part essay film, part sound experiment, Aura Satz’s electrifying Preemptive Listening is an urgent exploration of the social, political, and sonic dimensions of the siren. Tracing its evolution from shepherd’s bugle to World War II air raid alarm, Satz reflects on the siren’s omnipresence today—from warning systems for environmental and man-made disasters to symbols of aggressive policing and state control. She combines footage shot on location at alarm sites worldwide—including Fukushima, Japan; Bethlehem, Palestine; and a high school in the United States—with original compositions by collaborators like musicians and sound artists Raven Chacon, Moor Mother, and Maja S. K. Ratkje. Throughout, Satz also looks ahead, asking how the siren might be reimagined to better attune us to the interconnected responsibilities of our shared future. Followed by a conversation with the artist."
13,GRAND TOUR,2024,Miguel Gomes,128,New Releases & Restorations,"Opens 4/11, Exclusive",Portugal/Italy/France/Germany/Japan/China,"In English and Portuguese, Burmese, Vietnamese, Mandarin, French, Spanish, and Japanese with English subtitles | Format: Digital",https://www.siskelfilmcenter.org//grand-tour,GRAND TOUR,"Burma, 1917. Edward, a British diplomat, is due to meet his fiancée Molly after an especially protracted, long-distance engagement. Instead, he panics and runs away, hopping on a ship to Singapore and setting off on the titular grand tour across Asia, with Molly hot on his trail. At each stop, Edward grows more melancholy, contemplating the meaning of his existence and wondering about his would-be bride. Meanwhile, the spirited Molly continues, determined, despite significant setbacks, to track down the man she loves. The latest feature from Portuguese auteur Miguel Gomes (THE TSUGUA DIARIES), GRAND TOUR, which won Gomes the Best Director prize at Cannes, is an extraordinary journey of two strangers in a strange land."
14,A STATE OF PASSION,2024,Carol Mansour,93,Chicago Palestine Film Festival,"Filmmaker Q&A, Sold Out",Palestine/Lebanon,In English and Arabic with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//state-passion,A STATE OF PASSION,"After 43 horrific days working under constant bombardment in the emergency rooms of Gaza’s Al-Shifa and Al-Ahli hospitals, British Palestinian surgeon Dr. Ghassan Abu-Sittah emerged to find himself as a face of Palestinian resistance. Preceded by SALT (2023, dir. Mateusz Miszczynski, 6 min.), SIRI MIRI (2021, dir. Luay Awwad, 6 min.), and THE DEER’S TOOTH (2024, dir. Saif Hammash, 16 min.). This presentation will include a filmmaker Q&A."
15,CPFF SHORT FILMS: SOLIDARITY & PROMISE,2023,Various directors,127,Chicago Palestine Film Festival,,,In English | Format: Digital,https://www.siskelfilmcenter.org//shorts-solidarity,CPFF SHORT FILMS: SOLIDARITY & PROMISE,"In MAWTINI (2023, dir. Fateema Al-Hamaydeh Miller, 19 min.), Nawal and Tanya start a guerrilla garden. REMEMBERING WATER (2024, dir. Tom Callahan, 34 min., pictured) explores how Irish Americans contribute to a world where Palestine can be free. In DANCING PALESTINE (2023, dir. Lamees Almakkawy, 37 min.), Palestinians dance the Dabke as an homage to their history, and AHMAD ALIVE (2024, dir. Ahmad Ghunaim, 37 min.) chronicles the journey of Gazan vlogger-turned-war-correspondent Ahmad Ghunaim."
16,THE PROMISE,2022,Leonardo Antonio Avezzano,84,Chicago Palestine Film Festival,Filmmaker Q&A,Jordan,In English and Arabic with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//promise,THE PROMISE,"Alaa’s father defied the odds as a Palestinian, going from selling milk on his bike to building a dairy empire. After his death, Alaa is unable to escape the promise he made to him on his deathbed: to climb Mount Everest. This deeply personal film explores the complex bonds between father and son and takes the audience on Alaa’s journey to honor his father’s legacy. Preceded by FROM GAZA TO CUBA (2024, dir. Frank Rojazz, 14 min.) and KHSARA (2024, dirs. Jameeleh Shelo and Dean Bushala, 15 min.). This presentation will include a filmmaker Q&A."
17,THE MISSING PICTURE,2013,Rithy Panh,92,Shadows of War Lecture Series,,Cambodia/France,In French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//missing-picture,THE MISSING PICTURE,"Blending animation, archival footage, and clay dioramas by sculptor Sarith Mang, THE MISSING PICTURE documents the Khmer Rouge regime and the Cambodian genocide’s impact and aftermath on the Cambodian people. Filmmaker Rithy Panh weaves his own story of survival of the as a child who survived the genocide, before settling in France."
18,CPFF SHORT FILMS: CHICAGO TO PALESTINE,2021,Various directors,83,Chicago Palestine Film Festival,"Filmmaker Q&A, Sold Out",USA,In English | Format: Digital,https://www.siskelfilmcenter.org//shorts-chicago,CPFF SHORT FILMS: CHICAGO TO PALESTINE,"In MEMOIRS OF A MOZLEM (2021, dir. Bayan Jarad, 5 min.), two college girls experience reactions to their appearance. A girl learns the tradition of the olive harvest in THE OLIVE TREE SAID TO ME (2022, dir. Naif Salem, 5 min.). In ABBOUD’S DREAM (2024, dir. Fady Yahiea Farouk, 10 min., pictured), Abboud depicts the pain of a Palestinian family. EID (2023, dir. Rame Ibrahim, 12 min.) is the story of artist Abdelaziz Ibrahim and his family’s attempts to honor him in death. In WHERE THE WIND BLOWS (2024, dir. Hana Elias, 16 min.), Nassib returns to his Palestinian hometown to revive an ancestral garden. And in 7 DAYS OUT: FINALE - BELAL MUHAMMAD (2024, dir. Will Harris, 35 min.), the UFC Welterweight Champion speaks to the importance of standing up for one's beliefs. This presentation will include a filmmaker Q&A."
19,THE RADICAL ART OF THE SANDIN IMAGE PROCESSOR,1973,Various directors,80,Conversations at the Edge,Artist Dialogue,USA,In English | Format: Live analog video to digital; digital,https://www.siskelfilmcenter.org//radical-art,THE RADICAL ART OF THE SANDIN IMAGE PROCESSOR,"In 1973, Chicago artist and scientist Dan Sandin debuted the Sandin Image Processor, a groundbreaking analog computer that enabled users to create astonishing video effects in real time. By encouraging other artists to ""copy-it-right,"" he paved the way for the production of dozens of image processors across the United States, making the machine one of the most influential tools for video experimentation and performance of its era. More than 50 years later, the Sandin Image Processor continues to inspire, connecting artists, hardware developers, and computer programmers across generations. To mark this anniversary, this program brings together a range of works created with the Sandin Image Processor over the years, including two new commissions by artists Lee Blalock and Jon Satrom. Additionally, real-time artist James Connolly will present a rare live public demonstration and performance on one of the School of the Art Institute of Chicago’s own Sandin Image Processors, echoing Sandin’s legacy of education, improvisation, and artistic experimentation. Followed by a conversation with Dan Sandin, Lee Blalock, Jon Satrom, and James Connolly. Audience members will also have an opportunity to engage directly with the Sandin Image Processor in the theater."
