Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
RIVER'S EDGE,1986,Tim Hunter,/movie/rivers-edge/,River's Edge,1987,Tim Hunter,0.73,99,"A high school slacker commits a shocking act and proceeds to let his friends in on the secret. However, the friends' reaction is almost as ambiguous and perplexing as the crime itself.",Neal Jimenez
INLAND EMPIRE,2006,David Lynch,/movie/inland-empire/,Inland Empire,2006,David Lynch,0.73,180,"The latest hallucinatory vision from the iconoclastic director of ""Blue Velvet"" and ""Twin Peaks,"" Inland Empire stars Laura Dern in a tour-de-force performance as, perhaps, an actress who lands a dream role that quickly devolves into nightmare.  [IFC Center]",David Lynch
HARAKIRI,1962,Masaki Kobayashi,/movie/harakiri/,Harakiri,1964,Masaki Kobayashi,0.85,133,An elder ronin samurai arrives at a feudal lord's home and requests an honorable place to commit suicide. But when the ronin inquires about a younger samurai who arrived before him things take an unexpected turn.,"Yasuhiko Takiguchi, Shinobu Hashimoto"
WHEN FALL IS COMING,2024,François Ozon,/movie/when-fall-is-coming/,When Fall Is Coming,2025,François Ozon,0.76,102,"After a tumultuous life in Paris, Michelle (Hélène Vincent) has retired to a quiet existence in Burgundy,  tending her garden and attending services at her parish. The voracious hostility of her adult daughter Valérie (Ludivine Sagnier) remains Michelle’s great puzzlement: how can a child for whom she sacrificed so much treat her with su...","François Ozon, Philippe Piazzo"
SECRET MALL APARTMENT,2024,Jeremy Workman,/movie/secret-mall-apartment/,Secret Mall Apartment,2025,Jeremy Workman,0.74,91,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.",
MADONNA: TRUTH OR DARE,1991,Alek Keshishian,/movie/madonna-truth-or-dare/,Madonna: Truth or Dare,1991,Alek Keshishian,0.7,120,Documentary following singer Madonna on her controversial Blond Ambition tour in 1990.,
THE SHROUDS,2024,David Cronenberg,/movie/the-shrouds/,The Shrouds,2025,David Cronenberg,0.59,119,"In an eerie, deceptively placid near-future, a techno-entrepreneur named Karsh (Vincent Cassel) has developed a new software that will allow the bereaved to bear witness to the gradual decay of loved ones dead and buried in the earth. While Karsh is still reeling from the loss of his wife (Diane Kruger) from cancer—and falling into a pec...",David Cronenberg
BASKET CASE,1982,Frank Henenlotter,/movie/basket-case/,Basket Case,1982,Frank Henenlotter,0.77,91,A young man carrying a big basket that contains his extremely deformed Siamese-twin brother seeks vengeance on the doctors who separated them against their will.,Frank Henenlotter
ISHTAR,1987,Elaine May,/movie/ishtar/,Ishtar,1987,Elaine May,0.51,107,"Chuck Clarke (Hoffman) and Lyle Rogers (Beatty) are a couple of no-talent New York singer-songwriters who agree to play the only gig they can find at the Chez Casablanca in Morocco. En route, they become embroiled in various international intrigues in the neighboring (fictional) Ishtar.",Elaine May
INHERENT VICE,2014,Paul Thomas Anderson,/movie/inherent-vice/,Inherent Vice,2014,Paul Thomas Anderson,0.81,148,"When private eye Doc Sportello’s ex-old lady suddenly out of nowhere shows up with a story about her current billionaire land developer boyfriend whom she just happens to be in love with, and a plot by his wife and her boyfriend to kidnap that billionaire and throw him in a loony bin...well, easy for her to say. It’s the tail end of the ...","Paul Thomas Anderson, Thomas Pynchon"
BLOW OUT,1981,Brian De Palma,/movie/blow-out/,Blow Out,1981,Brian De Palma,0.86,107,A movie sound recordist (John Travolta) accidentally records the evidence that proves that a car accident was actually an intentional killing and consequently finds himself in jeopardy.,"Brian De Palma, Bill Mesce Jr."
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,/movie/the-rocky-horror-picture-show/,The Rocky Horror Picture Show,1975,Jim Sharman,0.65,100,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,"Richard O'Brien, Jim Sharman"
COOLEY HIGH,1975,Michael Schultz,/movie/cooley-high/,Cooley High,1975,Michael Schultz,0.72,107,"In 1964, a group of high school friends who live on the Near North Side of Chicago enjoy life to the fullest...parties, hanging out, meeting new friends. Then life changes for two of the guys when they meet a pair of career criminals and get falsely arrested in connection with stealing a Cadillac. We follow their lives through the end of...",Eric Monte
MAGIC FARM,2025,Amalia Ulman,/movie/magic-farm/,Magic Farm,2025,Amalia Ulman,0.54,93,"A film crew working for an edgy media company travels to Argentina to profile a local musician, but their ineptitude leads them into the wrong country. As the crew collaborates with locals to fabricate a trend, unexpected connections blossom while a pervasive health crisis looms unacknowledged in the background.",Amalia Ulman
DUDE BRO PARTY MASSACRE III,2015,"Tomm Jacobsen, Michael Rousselet, Jon Salmon",/movie/dude-bro-party-massacre-iii/,Dude Bro Party Massacre III,2015,"Tomm Jacobsen, Michael Rousselet, Jon Salmon",,91,"In the wake of two back-to-back mass murders on Chico's frat row, loner Brent Chirino must infiltrate the ranks of a popular fraternity to investigate his twin brother's murder at the hands of the serial killer known as ""Motherface.""","Alec Owen, Ben Gigli, Brian Firenzi, Jon Salmon, Mike James, Timothy Ciancio"
DAISIES,1966,Vera Chytilová,/movie/daisies-1966/,Daisies (1966),2012,Vera Chytilová,,74,"Vera Chytilová’s absurdist farce follows the misadventures of two brash young women. Believing the world to be “spoiled,” they embark on a series of pranks in which nothing—food, clothes, men, war—is taken seriously. (Janus Films)","Vera Chytilová, Pavel Jurácek, Ester Krumbachová, Jaroslav Kucera, Zdenek Bláha, Václav Nývlt, Bohumil Smída, Ladislav Fikar"
CLOWN IN A CORNFIELD,2025,Eli Craig,/movie/clown-in-a-cornfield/,Clown in a Cornfield,2025,Eli Craig,,96,"Quinn and her father have just moved to the quiet town of Kettle Springs hoping for a fresh start. Instead, she discovers a fractured community that has fallen on hard times after the treasured Baypen Corn Syrup Factory burned down. As the locals bicker amongst themselves and tensions boil over, a sinister, grinning figure emerges from t...","Carter Blanchard, Eli Craig, Adam Cesare"
