Movie_ID,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score,Drama,Comedy,Romance,SciFi,Crime,Mystery,Action,Adventure,Horror,Thriller,Music,Documentary,Fantasy,Biography,Short,Western,History,War,Family,Animation,Sport
148,0.63,0.93,0.72,3.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
20,0.74,0.97,0.93,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,0.78,0.87,0.82,4.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.74,0.95,0.85,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
113,0.6,0.86,0.66,3.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,0.73,0.82,0.76,2.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.71,0.81,0.75,4.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,0.64,0.7,0.59,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0.77,0.96,0.9,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0.74,0.47,0.45,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0.67,0.85,0.66,2.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.75,0.9,0.79,4.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.81,0.94,0.91,3.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.62,0.71,0.63,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
197,0.69,0.69,0.57,3.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.82,0.98,0.84,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0.67,0.94,0.75,4.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.64,0.82,0.72,3.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
96,0.68,0.94,0.89,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
202,0.83,0.76,0.68,3.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74,0.68,0.91,0.81,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0.76,0.92,0.7,3.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0.65,0.9,0.75,3.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
