Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Do Not Expect Too Much from the End of the World,2023,Radu Jude,4.0,3.5,https://letterboxd.com//film/do-not-expect-too-much-from-the-end-of-the-world/,,,,,,4.5,,,,,,
"Paris, Texas",1984,Wim Wenders,4.5,4.0,https://letterboxd.com//film/paris-texas/,,,,,,5.0,,,,,,
Mad God,2021,Phil Tippett,3.5,,https://letterboxd.com//film/mad-god/,,5.0,3.5,,,,,,,,,
The Substance,2024,Coralie Fargeat,3.5,4.0,https://letterboxd.com//film/the-substance/,5.0,5.0,4.5,,4.5,3.5,3.0,4.5,5.0,,3.5,
,,,,,https://letterboxd.com//film/howls-moving-castle/,,,,,,,,,,,,
His Three Daughters,2023,Azazel Jacobs,3.0,3.5,https://letterboxd.com//film/his-three-daughters/,,,,,,,,,,,,
Only the River Flows,2023,Wei Shujun,,,https://letterboxd.com//film/only-the-river-flows/,,,,,,,,,,,,
Pokémon Detective Pikachu,2019,Rob Letterman,,,https://letterboxd.com//film/pokemon-detective-pikachu/,,,,4.0,,2.5,,,,4.0,,
Hundreds of Beavers,2022,Mike Cheslik,3.5,,https://letterboxd.com//film/hundreds-of-beavers/,,,,,3.5,,,,,,,
Good One,2024,India Donaldson,4.0,4.0,https://letterboxd.com//film/good-one/,,,,,,3.5,,,,,,
Molli and Max in the Future,2023,Michael Lukk Litwak,,,https://letterboxd.com//film/molli-and-max-in-the-future/,,,,,,,,,,,,
Alien: Romulus,2024,Fede Álvarez,3.0,2.5,https://letterboxd.com//film/alien-romulus/,,,3.5,,4.0,,,,,,,
Sing Sing,2023,Greg Kwedar,4.0,4.0,https://letterboxd.com//film/sing-sing-2023/,,,4.5,,3.5,4.0,,,,,,
The Nature of Love,2023,Monia Chokri,,,https://letterboxd.com//film/the-nature-of-love/,,,,,,,,,,,,
