Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Back to the Future,1985,Robert Zemeckis,,,https://letterboxd.com//film/back-to-the-future/,,,3.0,,,4.5,,,,5.0,,
Promising Young Woman,2020,Emerald Fennell,3.0,,https://letterboxd.com//film/promising-young-woman/,,4.0,,,,,,,5.0,,5.0,
A Knight’s Tale,2001,Brian Helgeland,,,https://letterboxd.com//film/a-knights-tale/,,,,,,,,,,,4.0,
Scooby-Doo,2002,Raja Gosnell,,,https://letterboxd.com//film/scooby-doo/,,,,,,,,,,,4.0,
The NeverEnding Story,1984,Wolfgang Petersen,,,https://letterboxd.com//film/the-neverending-story/,,,,,,,,,,,,
Slumdog Millionaire,2008,Danny Boyle,,,https://letterboxd.com//film/slumdog-millionaire/,,,,,,3.0,,,,,,
Airplane!,1980,"Jerry Zucker, David Zucker, …",,,https://letterboxd.com//film/airplane/,,,,,,,,,,,3.5,
X-Men: First Class,2011,Matthew Vaughn,,,https://letterboxd.com//film/x-men-first-class/,,,,,,,,,,,,
,,,,,https://letterboxd.com//film/blade-runner-2049/,,,,,,,,,,,,
The Boondock Saints,1999,Troy Duffy,,,https://letterboxd.com//film/the-boondock-saints/,,,4.0,,,,,,,,,
Kiss Kiss Bang Bang,2005,Shane Black,,,https://letterboxd.com//film/kiss-kiss-bang-bang-2005/,,,,,,,,,,,,
Memories,1995,"Katsuhiro Otomo, Koji Morimoto, …",,,https://letterboxd.com//film/memories/,,,,,,,,,,,,
Sound of Metal,2019,Darius Marder,4.0,,https://letterboxd.com//film/sound-of-metal/,,,,,,4.0,,,,,,
The Man from U.N.C.L.E.,2015,Guy Ritchie,,,https://letterboxd.com//film/the-man-from-uncle/,,,,,,,,,,,,
Possessor,2020,Brandon Cronenberg,3.5,,https://letterboxd.com//film/possessor/,,5.0,,,,,,,,,,
