Title,Year,Director,Rating,Watch Date,LB_Film_Link
The Nature of Love,2023,Monia Chokri,3.5,2024-08-04,https://letterboxd.com//film/the-nature-of-love/
Oddity,2024,Damian Mc Carthy,2.5,2024-07-28,https://letterboxd.com//film/oddity-2024/
Hit Man,2023,Richard Linklater,3.5,2024-06-26,https://letterboxd.com//film/hit-man-2023/
Challengers,2024,Luca Guadagnino,2.5,2024-06-22,https://letterboxd.com//film/challengers/
Furiosa: A Mad Max Saga,2024,George Miller,4.0,2024-06-13,https://letterboxd.com//film/furiosa-a-mad-max-saga/
Polite Society,2023,Nida Manzoor,2.5,2024-06-07,https://letterboxd.com//film/polite-society/
On the Count of Three,2021,Jerrod Carmichael,0.0,2024-06-05,https://letterboxd.com//film/on-the-count-of-three/
The Piano,1993,Jane Campion,4.0,2024-06-01,https://letterboxd.com//film/the-piano/
Starship Troopers,1997,Paul Verhoeven,2.5,2024-05-24,https://letterboxd.com//film/starship-troopers/
Jackass Forever,2022,Jeff Tremaine,0.0,2024-05-22,https://letterboxd.com//film/jackass-forever/
Happening,2021,Audrey Diwan,3.5,2024-05-22,https://letterboxd.com//film/happening/
Asteroid City,2023,Wes Anderson,2.5,2024-05-22,https://letterboxd.com//film/asteroid-city/
Petite Maman,2021,Céline Sciamma,4.0,2024-05-18,https://letterboxd.com//film/petite-maman/
They Cloned Tyrone,2023,Juel Taylor,2.5,2024-05-04,https://letterboxd.com//film/they-cloned-tyrone/
Civil War,2024,Alex Garland,4.0,2024-04-17,https://letterboxd.com//film/civil-war-2024/
GoodFellas,1990,Martin Scorsese,3.5,2024-04-15,https://letterboxd.com//film/goodfellas/
Before Sunset,2004,Richard Linklater,3.5,2024-04-13,https://letterboxd.com//film/before-sunset/
All Dirt Roads Taste of Salt,2023,Raven Jackson,2.5,2024-04-12,https://letterboxd.com//film/all-dirt-roads-taste-of-salt/
The Killer,2023,David Fincher,2.5,2024-04-10,https://letterboxd.com//film/the-killer-2023/
Morvern Callar,2002,Lynne Ramsay,3.5,2024-04-07,https://letterboxd.com//film/morvern-callar/
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,4.0,2024-04-03,https://letterboxd.com//film/three-billboards-outside-ebbing-missouri/
