Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
THE SHROUDS,2024,David Cronenberg,2025-04-30 16:15:00,2025-04-30,16:15:00
THE SHROUDS,2024,David Cronenberg,2025-04-30 18:45:00,2025-04-30,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-04-30 21:15:00,2025-04-30,21:15:00
WHEN FALL IS COMING,2024,François Ozon,2025-04-30 16:30:00,2025-04-30,16:30:00
WHEN FALL IS COMING,2024,François Ozon,2025-04-30 21:30:00,2025-04-30,21:30:00
DAISIES,1966,Vera Chytilová,2025-04-30 19:00:00,2025-04-30,19:00:00
THE SHROUDS,2024,David Cronenberg,2025-05-01 16:15:00,2025-05-01,16:15:00
THE SHROUDS,2024,David Cronenberg,2025-05-01 21:15:00,2025-05-01,21:15:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-01 16:30:00,2025-05-01,16:30:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-01 18:45:00,2025-05-01,18:45:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-01 21:30:00,2025-05-01,21:30:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-01 19:00:00,2025-05-01,19:00:00
MUSIC BOX BINGO,,,2025-05-01 19:00:00,2025-05-01,19:00:00
THE SHROUDS,2024,David Cronenberg,2025-05-02 13:45:00,2025-05-02,13:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-02 18:45:00,2025-05-02,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-02 21:15:00,2025-05-02,21:15:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-02 16:15:00,2025-05-02,16:15:00
THE BALTIMORONS,2025,Jay Duplass,2025-05-02 19:00:00,2025-05-02,19:00:00
LURKER,,Alex Russell,2025-05-02 21:45:00,2025-05-02,21:45:00
THE CATHEDRAL OF NEW EMOTIONS,2006,Helmut Herbst,2025-05-02 23:59:00,2025-05-02,23:59:00
BEST WISHES TO ALL,2023,Yûta Shimotsu,2025-05-02 23:59:00,2025-05-02,23:59:00
THE SHROUDS,2024,David Cronenberg,2025-05-03 11:15:00,2025-05-03,11:15:00
THE SHROUDS,2024,David Cronenberg,2025-05-03 18:45:00,2025-05-03,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-03 21:15:00,2025-05-03,21:15:00
DON'T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,2025-05-03 11:30:00,2025-05-03,11:30:00
CFCA SHORTS PROGRAM #1,2025,,2025-05-03 13:45:00,2025-05-03,13:45:00
BROTHER VERSES BROTHER,2025,Ari Gold,2025-05-03 16:15:00,2025-05-03,16:15:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-03 16:15:00,2025-05-03,16:15:00
TWINLESS,2025,James Sweeney,2025-05-03 18:30:00,2025-05-03,18:30:00
STRANGE DAYS,1995,Kathryn Bigelow,2025-05-03 21:00:00,2025-05-03,21:00:00
THE CATHEDRAL OF NEW EMOTIONS,2006,Helmut Herbst,2025-05-03 23:59:00,2025-05-03,23:59:00
MR. K,2024,Tallulah Hazekamp Schwab,2025-05-03 23:59:00,2025-05-03,23:59:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-04 11:15:00,2025-05-04,11:15:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-04 16:15:00,2025-05-04,16:15:00
THE GREAT DICTATOR,1940,Charlie Chaplin,2025-05-04 11:30:00,2025-05-04,11:30:00
THE SHROUDS,2024,David Cronenberg,2025-05-04 13:45:00,2025-05-04,13:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-04 18:45:00,2025-05-04,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-04 21:15:00,2025-05-04,21:15:00
CFCA SHORTS PROGRAM #2,2024,,2025-05-04 14:15:00,2025-05-04,14:15:00
FRIENDSHIP,2025,Andrew DeYoung,2025-05-04 16:30:00,2025-05-04,16:30:00
IT ENDS,2025,Alex Ullom,2025-05-04 19:00:00,2025-05-04,19:00:00
40 ACRES,2024,R.T. Thorne,2025-05-04 21:30:00,2025-05-04,21:30:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-05 16:15:00,2025-05-05,16:15:00
SWAMP DOGG GETS HIS POOL PAINTED,2024,"Isaac Gale, Ryan Olsen, David McMurry",2025-05-05 16:30:00,2025-05-05,16:30:00
THE SHROUDS,2024,David Cronenberg,2025-05-05 18:45:00,2025-05-05,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-05 21:15:00,2025-05-05,21:15:00
"SORRY, BABY",2025,Eva Victor,2025-05-05 19:00:00,2025-05-05,19:00:00
SISTER MIDNIGHT,2024,Karan Kandhari,2025-05-05 21:45:00,2025-05-05,21:45:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-06 16:15:00,2025-05-06,16:15:00
APRIL,2024,Dea Kulumbegashvili,2025-05-06 16:30:00,2025-05-06,16:30:00
THE SHROUDS,2024,David Cronenberg,2025-05-06 18:45:00,2025-05-06,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-06 21:15:00,2025-05-06,21:15:00
FANTASY LIFE,2025,Matthew Shear,2025-05-06 19:15:00,2025-05-06,19:15:00
OBEX,2025,Albert Birney,2025-05-06 21:45:00,2025-05-06,21:45:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-07 16:15:00,2025-05-07,16:15:00
HAPPYEND,2024,Neo Sora,2025-05-07 16:30:00,2025-05-07,16:30:00
THE SHROUDS,2024,David Cronenberg,2025-05-07 18:45:00,2025-05-07,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-07 21:15:00,2025-05-07,21:15:00
FAMILIAR TOUCH,2024,Sarah Friedland,2025-05-07 19:00:00,2025-05-07,19:00:00
ZODIAC KILLER PROJECT,2025,Charlie Shackleton,2025-05-07 21:30:00,2025-05-07,21:30:00
WHEN FALL IS COMING,2024,François Ozon,2025-05-08 16:15:00,2025-05-08,16:15:00
DESERT ROAD,2024,Shannon Triplett,2025-05-08 17:00:00,2025-05-08,17:00:00
THE SHROUDS,2024,David Cronenberg,2025-05-08 18:45:00,2025-05-08,18:45:00
THE SHROUDS,2024,David Cronenberg,2025-05-08 21:15:00,2025-05-08,21:15:00
A LITTLE PRAYER,2023,Angus MacLachlan,2025-05-08 19:15:00,2025-05-08,19:15:00
CLOWN IN A CORNFIELD,2025,Eli Craig,2025-05-09 14:15:00,2025-05-09,14:15:00
