Title,Year,Runtime,Format,Director,Writer,Cast
SAVE THE CHILDREN,1973,123,DCP,Stan Lathan,Matt Robinson,"Cannonball Adderley, Jerry Butler, Sammy Davis Jr."
I AM TRYING TO BREAK YOUR HEART,2002,92,DCP,Sam Jones,,"Jeff Tweedy, John Stirratt, Leroy Bach"
D.E.B.S.,2004,91,35mm,Angela Robinson,Angela Robinson,"Sara Foster, Jordana Brewster, Devon Aoki"
ONE CUT OF THE DEAD,2017,96,DCP,Shinichiro Ueda,"Shinichiro Ueda, Ryoichi Wada","Takayuki Hamatsu, Mao, Harumi Shuhama, Yuzuki Akiyama, Kazuaki Nagaya, Manabu Hosoi"
STOP MAKING SENSE,1984,88,DCP,Jonathan Demme,Jonathan Demme,"David Byrne, Bernie Worrell, Alex Weir, Tina Weymouth, Chris Frantz, Jerry Harrison"
PERSONA,1966,83,DCP,Ingmar Bergman,Ingmar Bergman,Bibi Andersson
RAN,1985,162,DCP,Akira Kurosawa,"Akira Kurosawa, Hideo Oguni","Tatsuya Nakadai, Akira Terao, Jinpachi Nezu"
ROCKY HORROR PICTURE SHOW,1975,100,35mm,Jim Sharman,,"Tim Curry, Susan Sarandon, Richard O'Brien, Charles Gray, Meatloaf, Barry Bostwick"
BORN IN FLAMES,1983,80,35mm,Lizzie Borden,"Ed Bowes, Lizzie Borden","Honey, Adele Bertei, Jean Satterfield"
JAWS,1975,124,35mm,Steven Spielberg,"Peter Benchley (screenplay), Carl Gottlieb (screenplay)","Roy Scheider, Robert Shaw, Richard Dreyfuss"
THE RUNAWAYS,2010,106,35mm,Floria Sigismondi,"Floria Sigismondi, Cherie Currie","Kristen Stewart, Dakota Fanning, Michael Shannon"
BOUND,1996,108,35mm,"Lana Wachowski, Lilly Wachowski","Lana Wachowski, Lilly Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano"
TALES FROM THE HOOD,1995,98,DCP,Rusty Cundieff,"Rusty Cundieff, Darin Scott","Clarence Williams III, Corbin Bernsen, Joe Torry"
DREAM DEMON,1988,89,DCP,Harley Cokeliss,"Christopher Wicking, Harley Cokeliss, Catherine de Pury","Jemma Redgrave, Kathleen Wilhoite, Timothy Spall"
THE WATERMELON WOMAN,1996,85,DCP,Cheryl Dunye,"Cheryl Dunye, Douglas McKeown","Cheryl Dunye, Guinevere Turner, Valarie Walker"
FANTASTIC MR. FOX,2009,87,35mm,Wes Anderson,"Roald Dahl (novel), Wes Anderson (screenplay)","George Clooney, Meryl Streep, Bill Murray"
THE COMPOUND LIVE WITH IAN HAPP AND SPECIAL GUESTS,,90,,,,"Ian Happ, Dakota Mekkes, Tom Prizeman"
DREAMSCAPE,1984,99,DCP,Joseph Ruben,"David Loughery, Chuck Russell, Joseph Ruben","Dennis Quaid, Max von Sydow, Christopher Plummer"
