Title,Year,Runtime,Format,Director,Writer,Cast,Description,Link,Theater,Scrape_Datetime
EDDINGTON,2025,148,DCP,Ari Aster,Ari Aster,"Joaquin Phoenix, Pedro Pascal, Luke Grimes, Deirdre O'Connell, Micheal Ward, with Austin Butler and Emma Stone","In May of 2020, a standoff between a small-town sheriff (Joaquin Phoenix) and mayor (Pedro Pascal) sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.From writer/director Ari Aster (BEAU IS AFRAID, HEREDITARY, MIDSOMMAR), EDDINGTON also stars Luke Grimes,‬‭ Deirdre O’Connell, Clifton Collins Jr., with Austin Butler and Emma Stone.",https://musicboxtheatre.com/films-and-events/eddington,Music Box,2025-07-19T03:20:44.467214+00:00
KILL THE JOCKEY,2024,96,DCP,Luis Ortega,"Fabian Casas, Luis Ortega, Rodolfo Palacios","Nahuel Pérez Biscayart, Úrsula Corberó, Daniel Giménez Cacho","Once-renowned jockey Remo Manfredi (Nahuel Pérez Biscayart) has run out of track. Perpetually inebriated, hopped up on horse drugs, and in hock to a minor mafioso, Remo seems to have a death wish. His girlfriend and fellow jockey Abril (Úrsula Corberó) is pregnant, but more invested in the libidinous equestrian underworld than in their drab domestic existence. Remo’s only hope of getting out of debt and starting a new life is riding on Mishima, a thoroughbred specially imported from Japan for his next big race. When Mishima leaps over the fence, Remo winds up in the hospital with a life-threatening concussion. Hunted by the mob and replaced in Abril’s bed by the alluring Ana (Mariana Di Girolamo), Remo dons a disguise and finds himself as herself, wandering the streets of Buenos Aires in a striking mink coat and going by the name Dolores. A wild and surreal crime comedy from Luis Ortega (El Angel), KILL THE JOCKEY explores the fluidity of identity, desire, and animal magnetism in a wholly original and unpredictable register.",https://musicboxtheatre.com/films-and-events/kill-the-jockey,Music Box,2025-07-19T03:20:44.467214+00:00
SHORTS PROGRAM 1 - ON THE THRESHOLD,,106,DCP,,,,"WHERE'S SOUTH? (Dir. Lua Borges & João Rubio Rubinato, 2024, 15 min)Amidst strange encounters in her life and work, Helena, a Brazilian filmmaker living in Chicago, is struck by a compelling obvious question: Where’s south? STRONGHOLD (Dir. Meghann Artes, 2024, 15 min)Stronghold, has been forced to close due to a lack of funding. And Fran, who has worked tirelessly for decades at this home, must move on. Fran believes she has found placement for all of the boys until Leo’s mother, Shelly, who has regained custody, fails to show up on the home’s final day. Now Fran must try to track down Shelly before she is able to embark on the next chapter of her own life — trying to reconcile with her grown daughter. When she finally finds Shelly, these women must make decisions that will change each of their lives forever — and that of Leo’s. C.O.M.A. (Dir. Elizabeth Rohrbaugh, 2024, 15 min)Bambi can’t poop. She’s a Brooklyn mom and has the clogs, PTA job and pelvic floor therapist to prove it. And no matter how many visualizations she does, her bowels are failing. Her daughter is being bullied at school and her husband is obsessed with LEGO sets. But maybe revenge will finally get her going. SOMETHING BLUE (Dir. Jinsui Song, 2023, 14 min)Emily returns home to attend her cousin’s wedding. In this jovial setting, she struggles to confront the source of her past trauma. INSIDE (Dir. Mahtab Pishghadam, 2024, 10 min)Mahtab unexpectedly has to face her inner reality... BEFORE YOU (Dir. Lauren Melinda, 2025, 15 min)Before You follows a couple in the wake of a decision they never thought they’d have to make: ending a planned pregnancy. With restrained storytelling and emotional honesty, the film explores the intimate—and often invisible—grief of pregnancy loss. It reframes the narrative around abortion, moving beyond politics to illuminate the personal and complex truths of reproductive experience.Starring Tony-nominated actress Tala Ashe, Before You speaks to the silent grief that touches countless families, offering space for empathy, reflection, and healing. THE OTHER PARTNERS (Dir. Destinee Stewart, 2024, 9 min)Rowyn's unabashed love for self-care is discovered when her boyfriend, Raj, innocently stumbles upon her dildo in a kitchen drawer while preparing for a dinner party. What ensues is a comedic battle of the sexes as Raj expresses his discomfort and Rowyn stands up for her right to masturbate. DON'T COME HOME BEFORE MIDNIGHT (Dir. Allison Torem, 2024, 13 min)An amateur detective determined to crack his first case. A corrupt youth tennis camp owner equal parts ruthless and lazy. An insatiable homemaker. A struggling single mother who just wants a better life for her children self. “Don’t Come Home Before Midnight” is a short existential comedy about the theatrical nature of adult life and the absurdity of American values.",https://musicboxtheatre.com/films-and-events/shorts-program-1-on-the-threshold,Music Box,2025-07-19T03:20:44.467214+00:00
PASSING STRANGERS,1973,74,DCP,Arthur J. Bressan Jr.,,"Robert Adams, Robert Carnagey, Bob Middleton","One of cinema's first coming out stories, this debut feature from pioneering gay filmmaker Arthur J. Bressan, Jr. (FORBIDDEN LETTERS, BUDDIES) tells the story of Robert, a young, closeted gay man who finds love, acceptance, and activism through a Berkley Barb ad. Critically acclaimed upon release and long-unavailable since, PASSING STRANGERS is a romantic portrait of the gay liberation era that still resonates today. Newly restored by the Bressan Project from its original film elements.",https://musicboxtheatre.com/films-and-events/passing-strangers,Music Box,2025-07-19T03:20:44.467214+00:00
ALLIGATOR,1980,91,DCP,Lewis Teague,John Sayles,"Robert Forster, Robin Riker, Michael V. Gazzo","July 18 & 19, SUPER-HORROR-RAMA! uncages a murderous menagerie of fearsome beasts—furry and scaly, fun-size and super-size, aboveground and underground—in two distinctly ferocious cult classics programmed by Josh Sturdevant of The Shadowboxery to rip the meat from your bones!The urban legend of Alligator (1980) begins when a hatchling is flushed down the toilet and lands in the sewers of Chicago. The creature feasts on discarded lab experiments loaded with an experimental growth formula, swells to mammoth proportions, gobbles sanitation workers, and crashes a child’s birthday party and a lavish wedding, leaving a trail of blood throughout this epic city crawl. Robert Forster (Medium Cool) plays the detective on the case, and behind the scenes is the ultimate team-up of filmmakers who fixate on the beastly when they make horror: screenwriter John Sayles also wrote Piranha (1978) and The Howling (1981), and director Lewis Teague later gave us Cujo (1983) and Cat’s Eye (1985)!We're also screening Bruno Mattei’s Rats: Night of Terror (1984) on Saturday, July 19 at 11:45pm!Every ticket includes a Limited Edition Pinback Button (new design each night), and every show kicks off with Giveaways donated by The Shadowboxery, Cryptid Craft Studio, Night Natalie, Drive-In Asylum, and Full Bleed Zine for the first folks who answer our trivia questions. The category is natural horror, so get ready!",https://musicboxtheatre.com/films-and-events/alligator,Music Box,2025-07-19T03:20:44.467214+00:00
EEPHUS,2024,98,DCP,Carson Lund,"Michael Basta, Nate Fisher, Carson Lund","Keith William Richards, Bill ""Spaceman"" Lee, Wayne Diamond","Two recreational baseball teams, the River Dogs and Adler’s Paint, have been meeting on their New England field on Sunday afternoons for longer than anyone can remember. These middle-aged sportsmen can’t run as fast as they used to or connect as reliably with a pitch, but their vigorous appetite for socializing, squabbling, and busting chops remains undiminished. After the know-nothing county board opts to raze the baseball diamond to make way for a school, the teams meet for one final game at their beloved Soldier’s Field, with girlfriends, kids, and local hooligans as intermittent spectators. As day turns to night and innings bleed together, the players face the uncertainty of a new era. Lovingly laid in a vanished Massachusetts of the mid-1990s, Carson Lund’s poignant feature debut plays like a lazy afternoon, perfectly attuned to the rhythms of America’s eternal pastime. Named for a rarely-deployed curveball, Eephus is both a ribald comedy for the baseball connoisseur and a movie for anyone who’s ever lamented their community slipping away.",https://musicboxtheatre.com/films-and-events/eephus,Music Box,2025-07-19T03:20:44.467214+00:00
SHORTS PROGRAM 2 - WHAT WE HOLD,,96,DCP,,,,"PATRON SAINT BUFFALO BILL (Dir. Lily McCauley, 2024, 5 min)Patron Saint Buffalo Bill aims to reclaim the the violent images of transfemininity created by The Silence of the Lambs’ central antagonist, Buffalo Bill, transforming them into a manifestation of Transsexual Monstrosity (a la Susan Stryker). The film starts with a pastiche of Silence’s infamous “Goodbye Horses” scene, with the filmmaker placed into the role of Buffalo Bill. This recreation then slips into a lush, dreamlike space in which a metamorphosis of both the image and the body can occur, intertwining and unifying with one another through mutual dissolution. Finally, from this cocoon emerges a new transsexual form, ready to claim the power of monstrosity to bring about a broader transformation of our gendered existence. SPANKED BY A GHOST (Dir. Katelyn Douglass, 2025, 12 min)Alone in her home, a woman is spanked by an unseen entity, awakening a force she cannot control. ""Spanked by a Ghost"" is a dreamy horror-comedy about desire, loneliness, and the unexpected ways we reach for connection. BETTER LIFE (Dir. Jessica Liu, 2024, 11 min)When a groundbreaking medical procedure promises to turn slackers into overachievers, an aging father sees it as his last chance to achieve the American Dream-through his unemployed adult daughter.  COME SIT WITH US (Dir. Elis Rumma, 2024, 14 min)Lola ends up sitting on a bench with local women on Midsummer Eve. At first, all women's troubles are alien to her, but as the evening progresses, she begins to question her current perspectives, and as a result of the long benching, she grows up with the country women in her own way. 7 FOIS (Dir. Christine Wiederkehr, 2024, 17 min)One afternoon, Elio, a young and very polite boy, meets his tutor's secret mistress. This unexpected encounter compels him to confide his own feelings for his tutor. Later, he reveals even more secrets. MERCI, POPPY (Dir. Hanna Gray Organschi, 2024, 14 min)A scrappy assistant reaches her breaking point when her charismatic, self-obsessed boss blows off her request for a promotion. JUST KIDDING, I ACTUALLY LOVE YOU (Dir. Anna Rose Duckworth, 2023, 12 min)Sophie returns to New Zealand hoping to win back her ex-fiancé Rob with a romantic gesture, only to discover he's moved on with someone new. When her plan goes disastrously wrong, she finds herself in an increasingly awkward situation that forces her to confront whether she truly wants what's best for Rob or just what she wants for herself. Through a series of mishaps and misunderstandings, Sophie must decide between pursuing her own desires and letting go of the past. MUNCHIES (Dir. Brittany Alexia Young, 2025, 11 min)Four estranged college girls reunite for a summer night, getting high together. Their sleepover takes a hilariously dark turn when their junk food cravings land them in the middle of a botched convenience store robbery. Despite becoming hostages, the girls are still stoned as f*ck. In their inebriated plan of escape, things go terribly wrong - leaving them intertwined forever.",https://musicboxtheatre.com/films-and-events/shorts-program-2-what-we-hold,Music Box,2025-07-19T03:20:44.467214+00:00
FORBIDDEN LETTERS,1979,74,DCP,Arthur J. Bressan Jr.,Arthur J. Bressan Jr.,"Robert Adams, Richard Locke, Victoria Young","Shot in the midst of the gay community’s fight against Anita Bryant’s ""Save Our Children"" campaign, this critically acclaimed feature from Arthur J. Bressan, Jr. (GAY U.S.A., BUDDIES) is a touching look at memory, fantasy, and the psychological tolls of the closet.Larry, a young gay man, is trying to pass the time on the day his older lover Richard is set to be released from prison. Unable to clear his head through casual sex, he reads through his letters to Richard — letters he knew he could never send out of fear that an outing would lead to a harsher sentence. As Richard’s release draws nearer, will the spark still be there when he gets out? Long unseen since its '79 release, this landmark film is finally available uncut in a new restoration by The Bressan Project.",https://musicboxtheatre.com/films-and-events/forbidden-letters,Music Box,2025-07-19T03:20:44.467214+00:00
RATS: NIGHT OF TERROR,1984,97,DCP,Bruno Mattei,Rossella Drudi,Ottaviano Dell'Acqua,"July 18 & 19, SUPER-HORROR-RAMA! uncages a murderous menagerie of fearsome beasts—furry and scaly, fun-size and super-size, aboveground and underground—in two distinctly ferocious cult classics programmed by Josh Sturdevant of The Shadowboxery to rip the meat from your bones!Italian fright flick Rats: Night of Terror is set a few hundred years after a devastating atomic war. Humanity is now divided between elites in underground cities and “new primitives” who moved back aboveground to the desolate remains of the before times. A roving gang of punks clad in the finest post-apocalyptic fashion set their sights on a ghost town—which uses sets from Sergio Leone’s classic gangster movie Once Upon a Time in America (1984)—and why mind the rat infestation or the gnawed-on corpses of strangers when the quarters are comfy and the high-tech greenhouse has fresh food and drink? As the rats grow in numbers and ferocity, the humans run for their lives!We're also screening Lewis Teague’s Alligator (1980) on Friday, July 18 at 11:45pm!Every ticket includes a Limited Edition Pinback Button (new design each night), and every show kicks off with Giveaways donated by The Shadowboxery, Cryptid Craft Studio, Night Natalie, Drive-In Asylum, and Full Bleed Zine for the first folks who answer our trivia questions. The category is natural horror, so get ready!",https://musicboxtheatre.com/films-and-events/rats-night-of-terror,Music Box,2025-07-19T03:20:44.467214+00:00
ROCKY HORROR PICTURE SHOW,1975,100,35mm,Jim Sharman,,"Tim Curry, Susan Sarandon, Richard O'Brien, Charles Gray, Meatloaf, Barry Bostwick","This notorious horror parody — a fast-paced potpourri of camp, sci-fi and rock ‘n’ roll, among other things — tracks the exploits of naïve couple Brad (Barry Bostwick) and Janet (Susan Sarandon) after they stumble upon the lair of transvestite Dr. Frank-N-Furter (Tim Curry). The film — a bizarre musical co-starring Meat Loaf and Richard O’Brien — bombed in its initial release but later gained a cult following at midnight showings.For 40 years, THE ROCKY HORROR PICTURE SHOW has delighted audiences and terrified parents. The Music Box Theatre is the proud Chicago home of THE ROCKY HORROR PICTURE SHOW. Every screening has a shadowcast of the film (that’s actors acting in front of the screen during the film) performed by the excellent Midnight Madness!Don’t-Look-Like-a-Virgin tipsDo not throw objects at the screen — that’s just not cool and can damage a very expensive screen. Thanks!Not Allowed: Toast, hot dogs, prunes, rice, water guns",https://musicboxtheatre.com/films-and-events/rocky-horror-picture-show,Music Box,2025-07-19T03:20:44.467214+00:00
