Title,Year,Director,Showtime,Theater,Scrape_Datetime
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,2025-07-20T04:59:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-20T17:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-20T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-20T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-21T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-20T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-20T21:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE BIG PICTURE,,,2025-07-21T01:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-21T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-21T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-22T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-21T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
A 'SECRET SHARK MOVIE' (90'S),,,2025-07-22T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DADDY DEAREST,1984,Arthur J. Bressan Jr.,2025-07-22T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-22T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-22T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-23T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-22T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-23T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
ACOUSTIC OPEN MIC NIGHT,1984,,2025-07-22T23:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
BUDDIES,1985,Arthur J. Bressan Jr.,2025-07-23T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
A 'SECRET SHARK MOVIE' (90'S),,,2025-07-23T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-23T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-23T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-24T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-23T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-24T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",2025-07-24T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",2025-07-24T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-24T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-24T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-25T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-24T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-25T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
AJ GOES TO THE DOG PARK,2024,Toby Jones,2025-07-25T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",2025-07-25T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SKYSCRAPER,1996,Raymond Martino,2025-07-26T04:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
JUICE,1984,Arthur J. Bressan Jr.,2025-07-26T04:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
FABULOUS FLEISCHER CARTOONS,,Max Fleischer,2025-07-26T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE AMUSEMENT PARK,1973,George A. Romero,2025-07-26T16:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
A NIGHTMARE ON ELM STREET 3: DREAM WARRIORS,1987,Chuck Russell,2025-07-27T04:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
JUICE,1984,Arthur J. Bressan Jr.,2025-07-27T04:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE AMUSEMENT PARK,1973,George A. Romero,2025-07-27T16:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
JUMANJI,1995,Joe Johnston,2025-07-30T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
JUMANJI,1995,Joe Johnston,2025-07-31T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DRUNKEN ANGEL,1948,Akira Kurosawa,2025-08-01T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THRONE OF BLOOD,1957,Akira Kurosawa,2025-08-01T21:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE HIDDEN FORTRESS,1958,Akira Kurosawa,2025-08-02T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CECIL B. DEMENTED,2000,John Waters,2025-08-02T04:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CATVIDEOFEST,2025,,2025-08-02T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SEVEN SAMURAI,1954,Akira Kurosawa,2025-08-02T18:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
YOJIMBO,1961,Akira Kurosawa,2025-08-02T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SANJURO,1962,Akira Kurosawa,2025-08-03T02:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
MORTAL KOMBAT,1995,Paul W.S. Anderson,2025-08-03T04:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CATVIDEOFEST,2025,,2025-08-03T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
IKIRU,1952,Akira Kurosawa,2025-08-03T18:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
MUSIC BOX MOVIE TRIVIA,,,2025-08-03T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DRUNKEN ANGEL,1948,Akira Kurosawa,2025-08-03T21:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EARTH,1930,Aleksandr Dovzhenko,2025-08-04T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
RASHOMON,1950,Akira Kurosawa,2025-08-04T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE HIDDEN FORTRESS,1958,Akira Kurosawa,2025-08-04T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
RASHOMON,1950,Akira Kurosawa,2025-08-05T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
YOJIMBO,1961,Akira Kurosawa,2025-08-05T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
IKIRU,1952,Akira Kurosawa,2025-08-05T20:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CATVIDEOFEST,2025,,2025-08-06T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
HIGH AND LOW,1963,Akira Kurosawa,2025-08-06T02:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SANJURO,1962,Akira Kurosawa,2025-08-06T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
HIGH AND LOW,1963,Akira Kurosawa,2025-08-06T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THRONE OF BLOOD,1957,Akira Kurosawa,2025-08-07T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SEVEN SAMURAI,1954,Akira Kurosawa,2025-08-08T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
"IT'S A MAD, MAD, MAD, MAD WORLD",1963,Stanley Kramer,2025-08-08T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SINNERS,2025,Ryan Coogler,2025-08-09T00:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SINNERS,2025,Ryan Coogler,2025-08-09T04:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SON OF THE WHITE MARE,1981,Marcell Jankovics,2025-08-09T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SON OF THE WHITE MARE,1981,Marcell Jankovics,2025-08-10T04:59:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
"IT'S A MAD, MAD, MAD, MAD WORLD",1963,Stanley Kramer,2025-08-09T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
2001: A SPACE ODYSSEY,1968,Stanley Kubrick,2025-08-10T01:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SLEEPING BEAUTY,1959,Clyde Geronimi,2025-08-10T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DUNKIRK,2017,Christopher Nolan,2025-08-10T22:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
2001: A SPACE ODYSSEY,1968,Stanley Kubrick,2025-08-11T01:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SINNERS,2025,Ryan Coogler,2025-08-11T20:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
2001: A SPACE ODYSSEY,1968,Stanley Kubrick,2025-08-12T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
2001: A SPACE ODYSSEY,1968,Stanley Kubrick,2025-08-12T20:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DUNKIRK,2017,Christopher Nolan,2025-08-13T00:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
TOP GUN: MAVERICK,2022,Joseph Kosinski,2025-08-13T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SINNERS,2025,Ryan Coogler,2025-08-14T00:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE DARK CRYSTAL,1982,"Jim Henson, Frank Oz",2025-08-14T23:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
SINNERS,2025,Ryan Coogler,2025-08-15T02:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
LAWRENCE OF ARABIA,1962,David Lean,2025-08-15T18:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
TOP GUN: MAVERICK,2022,Joseph Kosinski,2025-08-16T03:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
LAWRENCE OF ARABIA,1962,David Lean,2025-08-16T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CLEOPATRA,1963,Joseph L. Mankiewicz,2025-08-17T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
DER FAN,1982,Eckhart Schmidt,2025-08-17T04:59:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE DARK CRYSTAL,1982,"Jim Henson, Frank Oz",2025-08-17T16:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
BACKDRAFT,1991,Ron Howard,2025-08-17T19:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
LAWRENCE OF ARABIA,1962,David Lean,2025-08-17T23:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE PREMIERE,2024,Jon Silver,2025-08-18T00:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
ONCE UPON A TIME IN HOLLYWOOD,2019,Quentin Tarantino,2025-08-18T20:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
BACKDRAFT,1991,Ron Howard,2025-08-19T00:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
LAWRENCE OF ARABIA,1962,David Lean,2025-08-20T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
ONCE UPON A TIME IN HOLLYWOOD,2019,Quentin Tarantino,2025-08-21T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
THE ROOM,2003,Tommy Wiseau,2025-08-23T04:59:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
HOT SPRING SHARK ATTACK,2024,Morito Inoune,2025-08-24T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,2025-08-24T04:59:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CAPTAIN ZERO: INTO THE ABYSS PART II,2025,Z Cher-Aimé,2025-08-24T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
MUSIC BOX MOVIE TRIVIA,,,2025-08-24T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
ACOUSTIC OPEN MIC NIGHT,1984,,2025-08-26T23:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
JACKASS: THE MOVIE,2002,Jeff Tremaine,2025-08-29T02:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
