Title,Year,Director,Showtime,Theater,Scrape_Datetime
IN THE MOOD FOR LOVE,2001,Wong Kar Wai,2025-07-16T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-16T21:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-17T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
CASTRATION MOVIE,2024,Louise Weard,2025-07-17T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
STACEY AND MICHAEL'S SHOWCASE OF SHORTS X,2025,,2025-07-17T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
MY BEST FRIENDS WEDDING,1997,Ron BassP.J. Hogan,2025-07-17T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
IN THE MOOD FOR LOVE,2001,Wong Kar Wai,2025-07-17T21:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
IN THE MOOD FOR LOVE,2001,Wong Kar Wai,2025-07-18T02:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-17T21:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-18T00:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-18T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-18T17:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-18T20:45:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-19T00:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-19T03:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-18T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-19T00:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
PASSING STRANGERS,1973,Arthur J. Bressan Jr.,2025-07-19T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EEPHUS,2024,Carson Lund,2025-07-19T16:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-19T19:00:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
KILL THE JOCKEY,2024,Luis Ortega,2025-07-20T00:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-19T19:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-19T22:15:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
EDDINGTON,2025,Ari Aster,2025-07-20T01:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
FORBIDDEN LETTERS,1979,Arthur J. Bressan Jr.,2025-07-20T02:30:00+00:00,Music Box,2025-07-16T16:11:39.293484+00:00
