Title,Release Year,Director
Millennium Actress,2001,"Satoshi Kon, Kô Matsuo"
Akira,1988,Katsuhiro Ôtomo
All the Beauty and the Bloodshed,2022,Laura Poitras
Ex Machina,2014,Alex Garland
Harold & Kumar Go to White Castle,2004,Danny Leiner
Troll 2,1990,Claudio Fragasso
Tank Girl,1995,Rachel Talalay
Bean,1997,Mel Smith
Twilight,2008,Catherine Hardwicke
Black Dynamite,2009,Scott Sanders
Starship Troopers,1997,Paul Verhoeven
The Man from U.N.C.L.E.,2015,Guy Ritchie
Memories,1995,"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura"
Kiss Kiss Bang Bang,2005,Shane Black
The Boondock Saints,1999,Troy Duffy
Blade Runner 2049,2017,Denis Villeneuve
X-Men: First Class,2011,Matthew Vaughn
Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker"
Slumdog Millionaire,2008,"Danny Boyle, Loveleen Tandan"
The NeverEnding Story,1984,Wolfgang Petersen
Scooby-Doo,2002,Raja Gosnell
A Knight's Tale,2001,Brian Helgeland
Back to the Future,1985,Robert Zemeckis
Interview with the Vampire,1994,Neil Jordan
Horrible Bosses,2011,Seth Gordon
Grosse Pointe Blank,1997,George Armitage
Mortal Kombat,1995,Paul W.S. Anderson
Gone in 60 Seconds,2000,Dominic Sena
Highlander,1986,Russell Mulcahy
Braveheart,1995,Mel Gibson
Perfume: The Story of a Murderer,2006,Tom Tykwer
The Importance of Being Earnest,2002,Oliver Parker
Life as a House,2001,Irwin Winkler
Star Trek,2009,J.J. Abrams
Dragonheart,1996,Rob Cohen
Star Trek Into Darkness,2013,J.J. Abrams
Star Trek Beyond,2016,Justin Lin
Stardust,2007,Matthew Vaughn
Labyrinth,1986,Jim Henson
Johnny Mnemonic,1995,Robert Longo
Bedazzled,2000,Harold Ramis
Black Swan,2010,Darren Aronofsky
Pokemon: The First Movie,1998,Kunihiko Yuyama
Demolition Man,1993,Marco Brambilla
Legend,1985,Ridley Scott
Sex Drive,2008,Sean Anders
The Lost Boys,1987,Joel Schumacher
Short Circuit,1986,John Badham
Elf,2003,Jon Favreau
Sister Act,1992,Emile Ardolino
Tommy Boy,1995,Peter Segal
Idle Hands,1999,Rodman Flender
Reign of Fire,2002,Rob Bowman
Rampant,2018,Kim Sung-hoon
Sorry To Bother You,2018,Boots Riley
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh
Lamb,2021,Valdimar Jóhannsson
