Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
MISERICORDIA,2024,Alain Guiraudie,/movie/misericordia/,Misericordia,2025,Alain Guiraudie,0.83,102,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man’s widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie’s short stay in the village take an unexpected turn.",Alain Guiraudie
CAT PEOPLE,1982,Paul Schrader,/movie/cat-people/,Cat People,1982,Paul Schrader,0.61,118,"In this erotic remake of the 1942 classic, a young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.","DeWitt Bodeen, Alan Ormsby, Paul Schrader"
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,/movie/mishima-a-life-in-four-chapters/,Mishima: A Life in Four Chapters,1985,Paul Schrader,0.84,120,A fictionalized account in four chapters of the life of celebrated Japanese writer Yukio Mishima.,"Chieko Schrader, Paul Schrader, Leonard Schrader, Jun Shiragi, Yukio Mishima"
LIGHT SLEEPER,1992,Paul Schrader,/movie/light-sleeper/,Light Sleeper,1992,Paul Schrader,0.7,103,A drug dealer reconsiders his profession when his boss plans to go straight and an old flame reappears.,Paul Schrader
GODZILLA MINUS ONE,2023,Takashi Yamazaki,/movie/godzilla-minus-one/,Godzilla Minus One,2023,Takashi Yamazaki,0.81,124,"In postwar Japan, a new terror rises; Godzilla. Will the devastated people be able to survive... let alone fight back?","Takashi Yamazaki, Ishirô Honda, Takeo Murata"
FIRST REFORMED,2018,Paul Schrader,/movie/first-reformed/,First Reformed,2018,Paul Schrader,0.86,113,"Reverend Ernst Toller (Ethan Hawke) is a solitary, middle-aged parish pastor at a small Dutch Reform church in upstate New York on the cusp of celebrating its 250th anniversary. Once a stop on the Underground Railroad, the church is now a tourist attraction catering to a dwindling congregation, eclipsed by its nearby parent church, Abund...",Paul Schrader
LATE SPRING,1949,Yasujiro Ozu,/movie/late-spring-1949/,Late Spring (1949),1972,Yasujirô Ozu,0.93,108,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.","Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu"
THE MISSING PICTURE,2013,Rithy Panh,/movie/the-missing-picture/,The Missing Picture,2013,Rithy Panh,0.87,92,"Rithy Panh uses clay figures, archival footage, and narration to revisit the atrocities committed by Cambodia's Khmer Rouge between 1975 and 1979.","Rithy Panh, Christophe Bataille"
BOWLING FOR COLUMBINE,2002,Michael Moore,/movie/bowling-for-columbine/,Bowling for Columbine,2002,Michael Moore,0.72,120,"Famed documentarian Michael Moore returns with his first feature film in five years, as he tackles the issue of America's unique obsession with firearms.",Michael Moore
TO A LAND UNKNOWN,2025,Mahdi Fleifel,/movie/to-a-land-unknown/,To a Land Unknown,Eurozoom,Mahdi Fleifel,0.86,105,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan"
