Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
SHORT FILMS - CHICAGO TO PALESTINE,,,2025-04-16 18:00:00,2025-04-16,18:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-16 20:15:00,2025-04-16,20:15:00
THE RADICAL ART OF THE SANDIN IMAGE PROCESSOR,,,2025-04-17 18:00:00,2025-04-17,18:00:00
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,,2025-04-17 18:15:00,2025-04-17,18:15:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-17 20:30:00,2025-04-17,20:30:00
GRAND TOUR,2024,Miguel Gomes,2025-04-17 20:45:00,2025-04-17,20:45:00
A FIDAI FILM,2024,Kamal Aljafari,2025-04-18 20:00:00,2025-04-18,20:00:00
THE PALESTINE EXCEPTION,,Jennifer Ruth,2025-04-19 13:00:00,2025-04-19,13:00:00
YALLA PARKOUR,2024,Areeb Zuaiter,2025-04-19 18:00:00,2025-04-19,18:00:00
BONA,1980,Lino Brocka,2025-04-21 18:00:00,2025-04-21,18:00:00
BOWLING FOR COLUMBINE,2002,Michael Moore,2025-04-22 18:00:00,2025-04-22,18:00:00
SPACES OF EXCEPTION,2019,Malek Rasamny,2025-04-23 18:00:00,2025-04-23,18:00:00
VIDEO DATA BANK PRESENTS: ROUNDABOUT - VIDEOBRASIL,,,2025-04-24 18:00:00,2025-04-24,18:00:00
TO A LAND UNKNOWN,2025,Mahdi Fleifel,2025-04-25 20:00:00,2025-04-25,20:00:00
THE IMPORTANCE OF BEING EARNEST,2025,Max Webster,2025-04-26 14:00:00,2025-04-26,14:00:00
"JANIN, JENIN",2024,Mohammad Bakri,2025-04-26 19:00:00,2025-04-26,19:00:00
THE IMPORTANCE OF BEING EARNEST,2025,Max Webster,2025-04-27 14:00:00,2025-04-27,14:00:00
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,,2025-04-28 18:00:00,2025-04-28,18:00:00
MARY PATTEN: AT THE RISK OF SEEMING RIDICULOUS,,,2025-05-01 18:00:00,2025-05-01,18:00:00
"JANIN, JENIN",2024,Mohammad Bakri,2025-05-01 20:30:00,2025-05-01,20:30:00
FORGETTING VIETNAM,2016,Tr?nh T. Minh-hà,2025-05-06 18:00:00,2025-05-06,18:00:00
