,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
237,BREWSTER MCCLOUD,1970,Robert Altman,2025-06-14 14:00:00-05:00,2025-06-14,14:00:00
238,42ND STREET,1933,Lloyd Bacom,2025-06-14 12:00:00-05:00,2025-06-14,12:00:00
239,KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-14 20:30:00-05:00,2025-06-14,20:30:00
240,GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-15 14:00:00-05:00,2025-06-15,14:00:00
241,MOMMIE DEAREST,1981,Frank Perry,2025-06-16 18:00:00-05:00,2025-06-16,18:00:00
242,MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-18 18:00:00-05:00,2025-06-18,18:00:00
243,SHOWGIRLS,1995,Paul Verhoeven,2025-06-20 20:30:00-05:00,2025-06-20,20:30:00
244,BOOM!,1968,Joseph Losey,2025-06-21 20:00:00-05:00,2025-06-21,20:00:00
245,MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-21 14:00:00-05:00,2025-06-21,14:00:00
246,SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-21 17:00:00-05:00,2025-06-21,17:00:00
247,WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-22 14:00:00-05:00,2025-06-22,14:00:00
248,SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-22 17:00:00-05:00,2025-06-22,17:00:00
249,THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-23 18:15:00-05:00,2025-06-23,18:15:00
250,IMAGES,1972,Robert Altman,2025-06-25 18:00:00-05:00,2025-06-25,18:00:00
251,LIGHTNING,1952,Mikio Naruse,2025-06-26 18:00:00-05:00,2025-06-26,18:00:00
252,FEMALE TROUBLE,1974,John Waters,2025-06-27 18:00:00-05:00,2025-06-27,18:00:00
253,THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-28 18:00:00-05:00,2025-06-28,18:00:00
254,IMAGES,1972,Robert Altman,2025-06-28 14:00:00-05:00,2025-06-28,14:00:00
255,A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-28 14:15:00-05:00,2025-06-28,14:15:00
256,KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-29 12:00:00-05:00,2025-06-29,12:00:00
257,A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-29 14:15:00-05:00,2025-06-29,14:15:00
258,42ND STREET,1933,Lloyd Bacom,2025-06-30 20:30:00-05:00,2025-06-30,20:30:00
259,FILMS FOR ONE TO EIGHT PROJECTORS,2008,Roger Beebe,2025-06-30 18:00:00-05:00,2025-06-30,18:00:00
