Title,Year,Director,Showtime
OPENING NIGHT: SLANTED,2025,Amy Wang,2025-05-16T19:00:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-17T14:45:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-17T19:45:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17T17:30:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17T12:30:00-05:00
THIRD ACT,2025,Tadashi Nakamura,2025-05-17T13:00:00-05:00
"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS",2025,Various directors,2025-05-17T16:00:00-05:00
CAN I GET A WITNESS,2024,Ann Marie Fleming,2025-05-17T19:00:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-18T14:45:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18T17:45:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18T12:30:00-05:00
YEAR OF THE CAT,2025,Tony Nguyen,2025-05-18T12:00:00-05:00
MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,2025,Various directors,2025-05-18T14:30:00-05:00
"BEN AND SUZANNE, A REUNION IN 4 PARTS",2024,Shaun Seneviratne,2025-05-18T17:30:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-19T20:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-19T17:45:00-05:00
FINDING HOME: AAPI SHORTS,2025,Various directors,2025-05-19T18:00:00-05:00
FAR AND AWAY: AAPI DOCUMENTARY SHORTS,2025,Various directors,2025-05-19T20:30:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-20T20:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-20T17:45:00-05:00
BITTERROOT,2024,Vera Brunner-Sung,2025-05-20T18:00:00-05:00
CHOOSING OURSELVES: AAPI QUEER SHORTS,2025,Various directors,2025-05-20T20:30:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-21T17:45:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-21T20:15:00-05:00
NEW WAVE,2025,Elizabeth Ai,2025-05-21T18:00:00-05:00
ROADBLOCKS: AAPI SHORTS,2025,Various directors,2025-05-21T20:30:00-05:00
APRIL,2025,Dea Kulumbegashvili,2025-05-22T20:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-22T17:45:00-05:00
CLOSING NIGHT: THE WEDDING BANQUET,2025,Andrew Ahn,2025-05-22T19:00:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-23T18:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-23T20:30:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23T20:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23T18:15:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24T19:00:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24T16:30:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-24T12:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24T17:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24T12:00:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24T19:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24T14:30:00-05:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-24T14:00:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-25T16:30:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-25T12:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25T12:00:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25T14:30:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25T17:15:00-05:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-25T14:00:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26T15:30:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26T18:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-26T20:30:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26T16:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26T18:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26T20:15:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-27T20:15:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-27T18:00:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27T18:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27T20:30:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-28T18:00:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-28T20:30:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28T18:15:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28T20:15:00-05:00
PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-29T20:15:00-05:00
A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-29T18:00:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29T20:30:00-05:00
JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29T18:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-02T18:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-05-02T18:15:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-05-02T20:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-02T20:30:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03T12:45:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03T13:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-05-03T15:00:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03T15:15:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03T17:15:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03T18:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-05-03T19:45:00-05:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03T20:30:00-05:00
CAN I GET A WITNESS?,2024,Ann Marie Fleming,2025-05-17T19:00:00-05:00
WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-01T13:30:00-05:00
WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-02T17:45:00-05:00
"BLACK HARVEST PRESENTS: MAHOGANY AT 50 — ON STYLE, MEMORY, AND MEANING",2025,Various directors,2025-06-03T18:00:00-05:00
M*A*S*H,1970,Robert Altman,2025-06-04T18:00:00-05:00
GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-05T18:00:00-05:00
FEMALE TROUBLE,1974,John Waters,2025-06-06T20:00:00-05:00
M*A*S*H,1970,Robert Altman,2025-06-07T14:00:00-05:00
SHOWGIRLS,1995,Paul Verhoeven,2025-06-07T20:30:00-05:00
MOMMIE DEAREST,1981,Frank Perry,2025-06-08T16:00:00-05:00
WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-09T18:15:00-05:00
BREWSTER MCCLOUD,1970,Robert Altman,2025-06-11T18:00:00-05:00
BOOM!,1968,Joseph Losey,2025-06-13T20:15:00-05:00
BREWSTER MCCLOUD,1970,Robert Altman,2025-06-14T14:00:00-05:00
42ND STREET,1933,Lloyd Bacom,2025-06-14T12:00:00-05:00
KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-14T20:30:00-05:00
GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-15T14:00:00-05:00
MOMMIE DEAREST,1981,Frank Perry,2025-06-16T18:00:00-05:00
MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-18T18:00:00-05:00
SHOWGIRLS,1995,Paul Verhoeven,2025-06-20T20:30:00-05:00
BOOM!,1968,Joseph Losey,2025-06-21T20:00:00-05:00
MCCABE & MRS. MILLER,1971,Robert Altman,2025-06-21T14:00:00-05:00
SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-21T17:00:00-05:00
WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-22T14:00:00-05:00
SABBATH QUEEN,2024,Sandi Simcha Dubowski,2025-06-22T17:00:00-05:00
THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-23T18:15:00-05:00
IMAGES,1972,Robert Altman,2025-06-25T18:00:00-05:00
LIGHTNING,1952,Mikio Naruse,2025-06-26T18:00:00-05:00
FEMALE TROUBLE,1974,John Waters,2025-06-27T18:00:00-05:00
THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-28T18:00:00-05:00
IMAGES,1972,Robert Altman,2025-06-28T14:00:00-05:00
A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-28T14:15:00-05:00
KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-29T12:00:00-05:00
A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-29T14:15:00-05:00
42ND STREET,1933,Lloyd Bacom,2025-06-30T20:30:00-05:00
FILMS FOR ONE TO EIGHT PROJECTORS,2008,Roger Beebe,2025-06-30T18:00:00-05:00
