Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-09 21:30:00,2025-04-09,21:30:00
EEPHUS,2024,Carson Lund,2025-04-10 16:15:00,2025-04-10,16:15:00
EEPHUS,2024,Carson Lund,2025-04-10 18:45:00,2025-04-10,18:45:00
EEPHUS,2024,Carson Lund,2025-04-10 21:15:00,2025-04-10,21:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-10 16:30:00,2025-04-10,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-10 19:15:00,2025-04-10,19:15:00
GREASE SING-A-LONG,1978,Randal Kleiser,2025-04-10 21:45:00,2025-04-10,21:45:00
THE COMMERCIAL WORKS OF DAVID LYNCH,,David Lynch,2025-04-11 16:00:00,2025-04-11,16:00:00
ERASERHEAD,1977,David Lynch,2025-04-11 19:00:00,2025-04-11,19:00:00
LOST HIGHWAY,1997,David Lynch,2025-04-11 21:45:00,2025-04-11,21:45:00
THE ELEPHANT MAN,1980,David Lynch,2025-04-12 11:00:00,2025-04-12,11:00:00
THE STRAIGHT STORY,1999,David Lynch,2025-04-12 13:40:00,2025-04-12,13:40:00
LYNCH/OZ,2022,Alexandre O. Philippe,2025-04-12 16:10:00,2025-04-12,16:10:00
THE WIZARD OF OZ,1939,"Victor Fleming, King Vidor",2025-04-12 18:40:00,2025-04-12,18:40:00
WILD AT HEART,1990,David Lynch,2025-04-12 21:00:00,2025-04-12,21:00:00
THE HIDDEN,1987,Jack Sholder,2025-04-12 23:59:00,2025-04-12,23:59:00
THE DRAGON PAINTER,1919,William Worthington,2025-04-13 11:30:00,2025-04-13,11:30:00
BLUE VELVET,1986,David Lynch,2025-04-13 14:15:00,2025-04-13,14:15:00
STORYVILLE,1992,Mark Frost,2025-04-13 18:00:00,2025-04-13,18:00:00
1-800-ON-HER-OWN,2024,Dana Flor,2025-04-13 19:00:00,2025-04-13,19:00:00
"MEDITATION, CREATIVITY, PEACE",2012,David Lynch,2025-04-14 14:00:00,2025-04-14,14:00:00
