Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
EEPHUS,2024,Carson Lund,/movie/eephus/,Eephus,2025,Carson Lund,0.83,98,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end.","Michael Basta, Nate Fisher, Carson Lund"
ON BECOMING A GUINEA FOWL,2024,Rungano Nyoni,/movie/on-becoming-a-guinea-fowl/,On Becoming a Guinea Fowl,2025,Rungano Nyoni,0.87,95,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family.",Rungano Nyoni
BOB TREVINO LIKES IT,2024,Tracie Laymon,/movie/bob-trevino-likes-it/,Bob Trevino Likes It,2025,Tracie Laymon,0.71,102,"After searching for her estranged father online, a people-pleasing young woman unexpectedly forms a close bond with a grieving, childless man with the same name as her father on Facebook. Inspired by a true story.",Tracie Laymon
FEMALE TROUBLE,1974,John Waters,/movie/female-trouble/,Female Trouble (re-release),2002,John Waters,,89,A re-release of John Water's 1975 film starring Divine.,John Waters
BRIGHT STAR,2007,Jane Campion,/movie/bright-star/,Bright Star,2009,Jane Campion,0.81,119,"London 1818: a secret love affair begins between 23 year old English poet, John Keats, and the girl next door, Fanny Brawne, and outspoken student of fashion.  This unlikely pair started at odds, he thinking her a stylish minx, she unimpressed by literature in general. It was the illness of Keats' younger brother that drew them together....","Jane Campion, Andrew Motion"
THE ROOM,2003,Tommy Wiseau,/movie/the-room/,The Room,2003,Tommy Wiseau,0.09,99,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. Johnny can also be a little too trusting at times which haunts him later on. Lisa is a beautiful blonde fiancé of Johnny. She has always gotten her way and will manipulate to get what she wants. She is a taker, ...",Tommy Wiseau
THE IRON GIANT,1999,Brad Bird,/movie/the-iron-giant/,The Iron Giant,1999,Brad Bird,0.85,86,"A giant metal machine falls to Earth in 1950s Maine, frightening townspeople.  However, the robot befriends a nine-year-old boy named Hogarth who must save it from the predjudices of the townspeople and from a government agent intent on destroying the robot.","Tim McCanlies, Brad Bird, Ted Hughes, Brent Forrester"
ART SPIEGELMAN: DISASTER IS MY MUSE,2024,"Molly Bernstein, Philip Dolin",/movie/art-spiegelman-disaster-is-my-muse/,Art Spiegelman: Disaster Is My Muse,2025,"Molly Bernstein, Philip Dolin",,98,"Art Spiegelman: Disaster is My Muse! explores the life and career of cartoonist Art Spiegelman and the creation and ground-breaking impact of his Pulitzer Prize-winning graphic novel Maus, the story of his parents’ survival of the Holocaust and his own struggle to come to terms with this legacy.",
JOINT SECURITY AREA,2000,Park Chan-wook,/movie/jsa-joint-security-area/,J.S.A.: Joint Security Area,2005,Park Chan-wook,0.58,110,"Joint Security Area is the ""Apocalypse Now"" of the Korean War -- a shimmering, hyper-real epic that charts the spiritual fallout of international politics.  (Subway Cinema)","Park Chan-wook, Hyun-seok Kim, Seong-san Jeong, Mu-yeong Lee, Myeong-chan Park, Sang-yeon Park"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,/movie/the-ballad-of-wallis-island/,The Ballad of Wallis Island,2025,James Griffiths,0.78,100,"Charles (Tim Key), an eccentric lottery winner, lives alone on a remote island and dreams of getting his favorite musicians, McGwyer Mortimer (Tom Basden & Carey Mulligan) back together. His fantasy turns into reality when the bandmates and former lovers accept his invitation to play a private show at his home on Wallis Island. Old tensi...","Tom Basden, Tim Key"
BELLY,1998,Hype Williams,/movie/belly/,Belly,1998,Hype Williams,0.36,96,Two young friends involved in organized crime and drug dealing find that their priorities differ.,"Anthony Bodden, Nas, Hype Williams"
GREASE,1978,Randal Kleiser,/movie/grease/,Grease,1978,Randal Kleiser,0.7,110,"Danny's the bad boy leader of the T-Bird's.  Sandy's the innocent Australian transfer.  With the debilitating shadow of 50's high school politics dooming their budding relationship, will Danny and Sandy be able to change before it is too late to end up together?","Jim Jacobs, Warren Casey, Bronte Woodard, Allan Carr"
OUT OF SIGHT,1998,Steven Soderbergh,/movie/out-of-sight/,Out of Sight,1998,Steven Soderbergh,0.84,123,"Based on the novel by Elmore Leonard, Out of Sight tells the story of the unlikely relationship that forms between a sexy US Marshal (Lopez) and a charming career criminal (Clooney).","Elmore Leonard, Scott Frank"
ERASERHEAD,1977,David Lynch,/movie/eraserhead/,Eraserhead,1978,David Lynch,0.87,89,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",David Lynch
LOST HIGHWAY,1997,David Lynch,/movie/lost-highway/,Lost Highway,1997,David Lynch,0.53,135,This neo-noir is a mesmerizing meditation on the mysterious nature of identity from director David Lynch. [October Films],"David Lynch, Barry Gifford"
THE ELEPHANT MAN,1980,David Lynch,/movie/the-elephant-man/,The Elephant Man,1980,David Lynch,0.78,124,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.","Christopher De Vore, Eric Bergren, David Lynch, Frederick Treves, Ashley Montagu"
