Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
La Chimera,2023,Alice Rohrwacher,/movie/la-chimera/,La Chimera,2024,Alice Rohrwacher,0.91,130,"Everyone has their own Chimera, something they try to achieve but never manage to find. For the band of tombaroli, thieves of ancient grave goods and archaeological wonders, the Chimera means redemption from work and the dream of easy wealth. For Arthur, the Chimera looks like the woman he lost, Beniamina. To find her, Arthur challenges ...","Alice Rohrwacher, Carmela Covino, Marco Pettenello"
Eyes Wide Shut,1999,Stanley Kubrick,/movie/eyes-wide-shut/,Eyes Wide Shut,1999,Stanley Kubrick,0.69,159,"A doctor (Tom Cruise) becomes obsessed with having a sexual experience after his wife, Alice (Nicole Kidman), confesses to having fantasies about a random servicemen she briefly encountered over a year ago.","Stanley Kubrick, Frederic Raphael, Arthur Schnitzler"
Janet Planet,2023,Annie Baker,/movie/janet-planet/,Janet Planet,2024,Annie Baker,0.83,113,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet and her spellbinding nature. In her solitary moments, Lacy inhabits an inner world so extraordinarily d...",Annie Baker
Small Things Like These,2024,Tim Mielants,/movie/small-things-like-these/,Small Things Like These,2024,Tim Mielants,0.82,96,"It is 1985 in the run-up to Christmas in a small town in County Wexford, Ireland. Bill Furlong (Cillian Murphy) toils as a coal merchant to support himself, his wife and his five daughters. Early one morning while out delivering coal at the local convent, he makes a discovery that forces him to confront his past and the complicit silence...","Enda Walsh, Claire Keegan"
The Beast,2023,Bertrand Bonello,/movie/the-beast-2023/,The Beast,2024,Bertrand Bonello,0.8,146,"The year is 2044: artificial intelligence controls all facets of a stoic society as humans routinely “erase” their feelings. Hoping to eliminate pain caused by their past-life romances, Gabrielle (Léa Seydoux) continually falls in love with different incarnations of Louis (George MacKay). Set first in Belle Époque-era Paris Louis is a Br...","Bertrand Bonello, Benjamin Charbit, Guillaume Bréaud, Henry James"
Conclave,2024,Edward Berger,/movie/conclave/,Conclave,2024,Edward Berger,0.79,120,Conclave follows one of the world’s most secretive and ancient events – selecting a new Pope. Cardinal Lawrence (Ralph Fiennes) is tasked with running this covert process after the unexpected death of the beloved Pope. Once the Catholic Church’s most powerful leaders have gathered from around the world and are locked together in the Vati...,"Peter Straughan, Robert Harris"
Tangerine,2015,Sean Baker,/movie/tangerine/,Tangerine,2015,Sean Baker,0.86,88,"It's Christmas Eve in Tinseltown and Sin-Dee (newcomer Kitana Kiki Rodriguez) is back on the block. Upon hearing that her pimp boyfriend (James Ransone, STARLET, ""Generation Kill"") hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra (newcomer Mya Taylor), embark on a mission to get t...","Sean Baker, Chris Bergoch"
La Cocina,2024,Alonso Ruizpalacios,/movie/la-cocina/,La Cocina,2024,Alonso Ruizpalacios,0.74,139,"It is the lunchtime rush at The Grill, a New York tourist trap that serves thousands of customers on a regular Friday like today. Money has gone missing from the till and all the workers are being questioned. Most of them are illegal immigrants and they struggle to defend their job, their only rightful place in the world, as they prepare...","Alonso Ruizpalacios, Arnold Wesker"
Bird,2024,Andrea Arnold,/movie/bird-2024/,Bird,2024,Andrea Arnold,0.74,119,12-year-old Bailey (Nykiya Adams) lives with her single dad Bug (Barry Keoghan) and brother Hunter (Jason Buda) in a squat in North Kent. Bug doesn’t have much time for his kids and Bailey who is approaching puberty seeks attention and adventure elsewhere.,Andrea Arnold
Fish Tank,2009,Andrea Arnold,/movie/fish-tank/,Fish Tank,2010,Andrea Arnold,0.81,123,"The film is an emotionally stunning coming-of-age story, electrified by the breakthrough performance of its young star Katie Jarvis. Fifteen-year-old Mia is in a constant state of war with her family and the world around her, without any creative outlet for her considerable energies save a secret love of hip-hop dance. When she meets her...",Andrea Arnold
