Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
A Real Pain,2024,Jesse Eisenberg,/movie/a-real-pain/,A Real Pain,2024,Jesse Eisenberg,0.85,90,Mismatched cousins David and Benji reunite for a tour through Poland to honor their beloved grandmother. The adventure takes a turn when the pair’s old tensions resurface against the backdrop of their family history.,Jesse Eisenberg
The People's Joker,2022,Vera Drew,/movie/the-peoples-joker/,The People's Joker,2024,Vera Drew,0.78,92,"A painfully unfunny aspiring clown (Vera Drew as Joker the Harlequin) grapples with her gender identity while unsuccessfully attempting to join the ranks of Gotham City’s sole comedy program in a world where comedy has been outlawed. Uniting with a ragtag team of rejects and misfits, Joker the Harlequin forms an illegal anti-comedy troup...","Bri LeRose, Vera Drew"
Anora,2024,Sean Baker,/movie/anora/,Anora,2024,Sean Baker,0.91,139,"Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.",Sean Baker
Thelma,2024,Josh Margolin,/movie/thelma-2024/,Thelma,2024,Josh Margolin,0.77,97,"When 93-year-old Thelma Post (June Squibb) gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",Josh Margolin
Hit Man,2023,Richard Linklater,/movie/hit-man/,Hit Man,2024,Richard Linklater,0.82,115,"Inspired by an unbelievable true story, a strait-laced professor discovers his hidden talent as a fake hit man. He meets his match in a client who steals his heart and ignites a powder keg of deception, delight, and mixed-up identities.","Richard Linklater, Glen Powell, Skip Hollandsworth"
Hundreds of Beavers,2022,Mike Cheslik,/movie/hundreds-of-beavers/,Hundreds of Beavers,2024,Mike Cheslik,0.82,108,"A drunken applejack salesman is thrust into the frigid wilderness. Can he go from Zero to Hero, become North America's greatest fur trapper, and defeat hundreds of beavers?","Mike Cheslik, Ryland Brickson Cole Tews"
Polite Society,2023,Nida Manzoor,/movie/polite-society/,Polite Society,2023,Nida Manzoor,0.75,103,"A merry mash up of sisterly affection, parental disappointment and bold action, Polite Society follows martial artist-in-training Ria Khan who believes she must save her older sister Lena from her impending marriage. After enlisting the help of her friends, Ria attempts to pull off the most ambitious of all wedding heists in the name of ...",Nida Manzoor
Jackass Forever,2022,Jeff Tremaine,/movie/jackass-forever/,Jackass Forever,2022,Jeff Tremaine,0.74,96,"Celebrating the joy of being back together with your best friends and a perfectly executed shot to the dingdong, the original jackass crew return for another round of hilarious, wildly absurd, and often dangerous displays of comedy with a little help from some exciting new cast. Johnny and the team push the envelope even further in Jacka...","Jason 'Wee Man' Acuña, Derrick Beckles, J.P. Blackmon, Sean Cliver, Sean McInerney, Rachel Wolfson, Jeff Tremaine, Trip Taylor"
They Cloned Tyrone,2023,Juel Taylor,/movie/they-cloned-tyrone/,They Cloned Tyrone,2023,Juel Taylor,0.74,122,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,"Tony Rettenmaier, Juel Taylor"
Outlaw Johnny Black,2023,Michael Jai White,/movie/outlaw-johnny-black/,Outlaw Johnny Black,2023,Michael Jai White,0.54,130,"Hell bent on avenging the death of his father, Johnny Black (Michael Jai White) vows to gun down Brett Clayton and becomes a wanted man in the process while posing as a preacher in a small mining town that's been taken over by a notorious Land Baron.","Byron Minns, Michael Jai White"
The Unbearable Weight of Massive Talent,2022,Tom Gormican,/movie/the-unbearable-weight-of-massive-talent/,The Unbearable Weight of Massive Talent,2022,Tom Gormican,0.68,105,"Creatively unfulfilled and facing financial ruin, the fictionalized version of Nicolas Cage must accept a $1 million offer to attend the birthday of a dangerous superfan (Pedro Pascal). Things take a wildly unexpected turn when Cage is recruited by a CIA operative (Tiffany Haddish) and forced to live up to his own legend, channeling his ...","Tom Gormican, Kevin Etten"
No Hard Feelings,2023,Gene Stupnitsky,/movie/no-hard-feelings/,No Hard Feelings,2023,Gene Stupnitsky,0.59,103,"On the brink of losing her childhood home, Maddie (Jennifer Lawrence) discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.","Gene Stupnitsky, John Phillips"
El Conde,2023,Pablo Larraín,/movie/el-conde/,El Conde,2023,Pablo Larraín,0.72,110,"Pablo Larraín's new film is a satire that portrays a universe in which Augusto Pinochet, a 250-year-old vampire who, tired of being remembered as a thief, decides to die. [Netflix]","Guillermo Calderón, Pablo Larraín"
Drive-Away Dolls,2024,Ethan Coen,/movie/drive-away-dolls/,Drive-Away Dolls,2024,Ethan Coen,0.56,84,"Jamie (Margaret Qualley) is an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian (Geraldine Viswanathan) desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of ...","Ethan Coen, Tricia Cooke"
Barbie,2023,Greta Gerwig,/movie/barbie/,Barbie,2023,Greta Gerwig,0.8,114,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you’re a Ken.,"Greta Gerwig, Noah Baumbach"
American Fiction,2023,Cord Jefferson,/movie/american-fiction/,American Fiction,2023,Cord Jefferson,0.81,117,"Monk (Jeffrey Wright) is a frustrated novelist who’s fed up with the establishment profiting from “Black” entertainment that relies on tired and offensive tropes. To prove his point, Monk uses a pen name to write an outlandish “Black” book of his own, a book that propels him to the heart of hypocrisy and the madness he claims to disdain.","Cord Jefferson, Percival Everett"
Sanctuary,2022,Zachary Wigon,/movie/sanctuary/,Sanctuary,2023,Zachary Wigon,0.67,96,"Rebecca (Margaret Qualley), and her wealthy client, Hal (Christopher Abbott), engage in a high stakes role playing game for power and control.  In the wake of inheriting his father’s hotel chain, Hal attempts to end his long and secret relationship with Rebecca. A battle of wills ensues over the course of one incredibly fraught night, wi...",Micah Bloomberg
Werewolves Within,2021,Josh Ruben,/movie/werewolves-within/,Werewolves Within,2021,Josh Ruben,0.66,97,"After a proposed pipeline creates divisions within the small town of Beaverfield, and a snowstorm traps its residents together inside the local inn, newly arrived forest ranger Finn (Sam Richardson) and postal worker Cecily (Milana Vayntrub) must try to keep the peace and uncover the truth behind a mysterious creature that has begun terr...",Mishna Wolff
The Holdovers,2023,Alexander Payne,/movie/the-holdovers/,The Holdovers,2023,Alexander Payne,0.82,133,"A curmudgeonly instructor (Paul Giamatti) at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually he forms an unlikely bond with one of them -- a damaged, brainy troublemaker (newcomer Dominic Sessa) -- and with the school’s head cook, who has jus...",David Hemingson
7 Days,2021,Roshan Sethi,/movie/7-days/,7 Days,2022,Roshan Sethi,0.72,86,"Set-up on a pre-arranged date by their old-fashioned Indian parents, Ravi (Karan Soni) and Rita (Geraldine Viswanathan) seemingly have nothing in common. The situation turns both awkward and enlightening when they find themselves trapped inside together for a week.","Roshan Sethi, Karan Soni"
Shiva Baby,2020,Emma Seligman,/movie/shiva-baby/,Shiva Baby,2021,Emma Seligman,0.79,77,"At a Jewish funeral service with her parents, a college student runs into her sugar daddy.",Emma Seligman
Bottoms,2023,Emma Seligman,/movie/bottoms/,Bottoms,2023,Emma Seligman,0.74,92,PJ (Rachel Sennott) and Josie (Ayo Edebiri) start a fight club as a way to lose their virginities to cheerleaders. Their bizarre plan works. The fight club gains traction and soon the most popular girls in school are beating each other up in the name of self-defense. But PJ and Josie find themselves in over their heads and in need of a w...,"Emma Seligman, Rachel Sennott"
Joy Ride,2023,Adele Lim,/movie/joy-ride-2023/,Joy Ride,2023,Adele Lim,0.74,95,"When Audrey’s (Ashley Park) business trip to Asia goes sideways, she enlists the aid of Lolo (Sherry Cola), her irreverent, childhood best friend who also happens to be a hot mess; Kat (Stephanie Hsu), her college friend turned Chinese soap star; and Deadeye (Sabrina Wu), Lolo’s eccentric cousin. Their no-holds-barred, epic experience be...","Cherry Chevapravatdumrong, Teresa Hsiao, Adele Lim"
"Confess, Fletch",2022,Greg Mottola,/movie/confess-fletch/,"Confess, Fletch",2022,Greg Mottola,0.64,98,"Fletch (Jon Hamm) becomes the prime suspect in a murder case while searching for a stolen art collection. The only way to prove his innocence? Find out which of the long list of suspects is the culprit—from the eccentric art dealer and a missing playboy to a crazy neighbor and Fletch’s Italian girlfriend. Crime, in fact, has never been t...","Gregory McDonald, Greg Mottola, Zev Borow"
Inspector Ike,2020,Graham Mason,/movie/inspector-ike/,Inspector Ike,2022,Graham Mason,,82,"Inspector Ike, New York City’s greatest police detective, finds himself in a high-stakes game of cat-and-mouse after the conniving understudy of an avant-garde theater group knocks off the star actor. A “lost TV movie” from the 1970’s, Inspector Ike mixes visual gags, slapstick, gross food, and heartfelt emotion. Think Columbo meets The ...","Graham Mason, Ikechukwu Ufomadu"
Licorice Pizza,2021,Paul Thomas Anderson,/movie/licorice-pizza/,Licorice Pizza,2021,Paul Thomas Anderson,0.9,133,"Licorice Pizza is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love.",Paul Thomas Anderson
Dinner in America,2020,Adam Rehmeier,/movie/dinner-in-america/,Dinner in America,2022,Adam Rehmeier,0.8,106,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.,Adam Rehmeier
Brian and Charles,2022,Jim Archer,/movie/brian-and-charles/,Brian and Charles,2022,Jim Archer,0.66,90,"Brian is a lonely inventor in rural Wales who spends his days building quirky, unconventional contraptions that seldom work. Undeterred by his lack of success, Brian attempts his biggest project yet. Three days, a washing machine, and various spare parts later, he’s invented Charles, an artificially intelligent robot who learns English f...","David Earl, Chris Hayward"
Borat Subsequent Moviefilm,2020,Jason Woliner,/movie/borat-subsequent-moviefilm-delivery-of-prodigious-bribe-to-american-regime-for-make-benefit-once-glo/,Borat Subsequent Moviefilm,2020,Jason Woliner,0.68,95,"14 years later, Kazakh TV talking head Borat is once again dispatched to the United States to report on the greatest country in the world.","Sacha Baron Cohen, Anthony Hines, Dan Swimer, Peter Baynham"
The Nature of Love,2023,Monia Chokri,/movie/the-nature-of-love/,The Nature of Love,2024,Monia Chokri,0.8,111,"Sophia, a 40-year-old philosophy professor, has been in a stable and conventional marriage to Xavier for a decade. From gallery openings to endless dinner parties, ten years have flown by. When Sophia meets Sylvain, a craftsman renovating the couple’s new country house, Sophia’s world is turned upside down. The two begin a passionate aff...",Monia Chokri
Molli and Max in the Future,2023,Michael Lukk Litwak,/movie/molli-and-max-in-the-future/,Molli and Max in the Future,2024,Michael Lukk Litwak,0.7,93,"A sci-fi romantic comedy about a man and woman whose orbits repeatedly collide over the course of 12 years, 4 planets, 3 dimensions, and one space-cult.",Michael Lukk Litwak
Before Sunset,2004,Richard Linklater,/movie/before-sunset/,Before Sunset,2004,Richard Linklater,0.91,80,The timeless romantic story of two questing hearts and minds whose powerful bond defies time and place.  [Warner Independent Pictures],"Richard Linklater, Julie Delpy, Ethan Hawke, Kim Krizan"
Fallen Leaves,2023,Aki Kaurismäki,/movie/fallen-leaves/,Fallen Leaves,2023,Aki Kaurismäki,0.86,81,"In modern-day Helsinki, two lonely souls (Alma Pöysti and Jussi Vatanen) in search of their first love meet by chance in a local karaoke bar. However, the pair’s path to happiness is beset by numerous obstacles – from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.",Aki Kaurismäki
Portrait of a Lady on Fire,2019,Céline Sciamma,/movie/portrait-of-a-lady-on-fire/,Portrait of a Lady on Fire,2019,Céline Sciamma,0.95,122,"France, 1760. Marianne is commissioned to paint the wedding portrait of Héloïse, a young woman who has just left the convent. Because she is a reluctant bride-to-be, Marianne arrives under the guise of companionship, observing Héloïse by day and secretly painting her by firelight at night. As the two women orbit one another, intimacy and...",Céline Sciamma
Before Sunrise,1995,Richard Linklater,/movie/before-sunrise/,Before Sunrise,1995,Richard Linklater,0.79,105,A romantic look at the relationship between an American traveler and a French grad student who decide to spend a day together in Vienna.,"Richard Linklater, Kim Krizan"
Rye Lane,2023,Raine Allen-Miller,/movie/rye-lane/,Rye Lane,2023,Raine Allen-Miller,0.82,82,Two youngsters reeling from bad breakups who connect over an eventful day in South-London.,"Nathan Bryon, Tom Melia"
Past Lives,2023,Celine Song,/movie/past-lives/,Past Lives,2023,Celine Song,0.94,106,"Nora (Greta Lee) and Hae Sung (Teo Yoo), two deeply connected childhood friends, are wrest apart after Nora’s family emigrates from South Korea. Two decades later, they are reunited in New York for one fateful week as they confront notions of destiny and love, and the choices that make a life.",Celine Song
You Hurt My Feelings,2023,Nicole Holofcener,/movie/you-hurt-my-feelings-2023/,You Hurt My Feelings,2023,Nicole Holofcener,0.8,93,A novelist's longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book.,Nicole Holofcener
Crazy Rich Asians,2018,Jon M. Chu,/movie/crazy-rich-asians/,Crazy Rich Asians,2018,Jon M. Chu,0.74,120,"Crazy Rich Asians follows native New Yorker Rachel Chu (Constance Wu) as she accompanies her longtime boyfriend, Nick Young (Henry Golding), to his best friend’s wedding in Singapore.  Excited about visiting Asia for the first time but nervous about meeting Nick’s family, Rachel is unprepared to learn that Nick has neglected to mention a...","Peter Chiarelli, Adele Lim, Kevin Kwan"
Pride & Prejudice,2005,Joe Wright,/movie/pride-prejudice/,Pride & Prejudice,2005,Joe Wright,0.82,127,Keira Knightly stars as Elizabeth Bennet in this classic tale of love and misunderstanding which unfolds in class-conscious England near the close of the 18th century.  (Focus Features),"Deborah Moggach, Jane Austen, Emma Thompson"
Decision to Leave,2022,Park Chan-wook,/movie/decision-to-leave/,Decision to Leave,2022,Park Chan-wook,0.85,138,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.","Park Chan-wook, Chung Seo-kyung"
Drive My Car,2021,Ryûsuke Hamaguchi,/movie/drive-my-car/,Drive My Car,2021,Ryûsuke Hamaguchi,0.91,179,"Two years after his wife’s unexpected death, Yusuke Kafuku (Hidetoshi Nishijima), a renowned stage actor and director, receives an offer to direct a production of Uncle Vanya at a theater festival in Hiroshima. There, he meets Misaki Watari (Toko Miura), a taciturn young woman assigned by the festival to chauffeur him in his beloved red ...","Haruki Murakami, Ryûsuke Hamaguchi, Takamasa Ôe"
The Worst Person in the World,2021,Joachim Trier,/movie/the-worst-person-in-the-world/,The Worst Person in the World,2022,Joachim Trier,0.91,121,"Director Joachim Trier returns with another modern twist on a classically constructed character portrait of contemporary life in Oslo. Chronicling four years in the life of Julie, The Worst Person in the World examines one woman’s quest for love and meaning in the modern world. Fluidly told in twelve chapters, the film features a breakou...","Eskil Vogt, Joachim Trier"
Your Name,2017,Luca Guadagnino,/movie/your-name/,Your Name.,2017,Makoto Shinkai,0.81,106,"The day the stars fell, two lives changed forever. High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other. Yet, som...",Makoto Shinkai
Palm Springs,2020,Max Barbakow,/movie/palm-springs/,Palm Springs,2020,Max Barbakow,0.83,90,"While stuck at a wedding in Palm Springs, Nyles (Andy Samberg) meets Sarah (Cristin Milioti), the maid of honor and family black sheep. After he rescues her from a disastrous toast, Sarah becomes drawn to Nyles and his offbeat nihilism. But when their impromptu tryst is thwarted by a surreal interruption, Sarah must join Nyles in embraci...","Andy Siara, Max Barbakow"
Gremlins,1984,Joe Dante,/movie/gremlins/,Gremlins,1984,Joe Dante,0.7,106,"A cute little ""mogwai"" spawns demented demons when his young owner disregards the advice given by its previous owner.",Chris Columbus
Mad God,2021,Phil Tippett,/movie/mad-god/,Mad God,2022,Phil Tippett,0.8,83,"Mad God is an experimental animated film set in a world of monsters, mad scientists and war pigs. A corroded diving bell descends amidst a ruined city, settling down upon an ominous fortress guarded by zombie-like sentries. The Assassin emerges to explore a labyrinth of bizarre, desolate landscapes inhabited by freakish denizens. Through...",Phil Tippett
The Substance,2024,Coralie Fargeat,/movie/the-substance/,The Substance,2024,Coralie Fargeat,0.78,140,"Have you ever dreamt of a better version of yourself?
You. Only better in every way.
You've got to try this new product.
It changed my life.",Coralie Fargeat
Alien: Romulus,2024,Fede Alvarez,/movie/alien-romulus/,Alien: Romulus,2024,Fede Alvarez,0.64,119,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.","Dan O'Bannon, Ronald Shusett, Fede Alvarez, Rodo Sayagues"
Oddity,2024,Damian Mc Carthy,/movie/oddity/,Oddity,2024,Damian Mc Carthy,0.78,98,"After Dani is brutally murdered, her blind occultist twin sister Darcy goes after those responsible using inherited haunted items as her tools of revenge.",Damian Mc Carthy
Piggy,2022,Carlota Pereda,/movie/piggy/,Piggy,2022,Carlota Pereda,0.72,90,"With the summer sun beating down on her rural Spanish town, Sara (Laura Galán) hides away in her parent's butcher shop. A teenager whose excess weight makes her the target of incessant bullying, she flees a clique of capricious girls who torment her at the town pool, only to stumble upon them being brutally kidnapped by a stranger, who d...",Carlota Pereda
Talk to Me,2022,"Danny Philippou, Michael Philippou",/movie/talk-to-me-2022/,Talk to Me,2023,"Danny Philippou, Michael Philippou",0.76,94,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou, Bill Hinzman, Daley Pearson"
Barbarian,2022,Zach Cregger,/movie/barbarian/,Barbarian,2022,Zach Cregger,0.78,102,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that her rental has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the othe...",Zach Cregger
M3GAN,2022,Gerard Johnstone,/movie/m3gan/,M3GAN,2023,Gerard Johnstone,0.72,102,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child’s greatest companion and a parent’s greatest ally. Designed by brilliant toy-company roboticist Gemma (Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to.  ...","Akela Cooper, James Wan"
Bodies Bodies Bodies,2022,Halina Reijn,/movie/bodies-bodies-bodies/,Bodies Bodies Bodies,2022,Halina Reijn,0.69,94,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game goes awry in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.","Sarah DeLappe, Kristen Roupenian"
Under the Skin,2013,Jonathan Glazer,/movie/under-the-skin/,Under the Skin,2014,Jonathan Glazer,0.83,108,An alien seductress (Scarlett Johansson) preys upon hitchhikers in Scotland.,"Walter Campbell, Jonathan Glazer, Michel Faber, Milo Addica"
Hellraiser,1987,Clive Barker,/movie/hellraiser/,Hellraiser,1987,Clive Barker,0.56,94,An unfaithful wife encounters the zombie of her dead lover; the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,Clive Barker
Possessor,2020,Brandon Cronenberg,/movie/possessor-uncut/,Possessor Uncut,2020,Brandon Cronenberg,0.72,103,"Possessor is a sci-fi thriller about elite, corporate assassin Tasya Vos (Andrea Riseborough). Using brain-implant technology, Vos takes control of other people’s bodies to execute high profile targets. As she sinks deeper into her latest assignment Vos becomes trapped inside a mind that threatens to obliterate her.",Brandon Cronenberg
Gladiator,2000,Ridley Scott,/movie/gladiator/,Gladiator,2000,Ridley Scott,0.67,155,"Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way b...","David Franzoni, John Logan, William Nicholson"
Godzilla Minus One,2023,Takashi Yamazaki,/movie/godzilla-minus-one/,Godzilla Minus One,2023,Takashi Yamazaki,0.81,124,"In postwar Japan, a new terror rises; Godzilla. Will the devastated people be able to survive... let alone fight back?","Takashi Yamazaki, Ishirô Honda, Takeo Murata"
Furiosa: A Mad Max Saga,2024,George Miller,/movie/furiosa-a-mad-max-saga/,Furiosa: A Mad Max Saga,2024,George Miller,0.79,148,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by the Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she put...","George Miller, Nick Lathouris"
Civil War,2024,Alex Garland,/movie/civil-war/,Civil War,2024,Alex Garland,0.75,109,"From filmmaker Alex Garland comes a journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",Alex Garland
The Killer,2023,David Fincher,/movie/the-killer-2023/,The Killer,2023,David Fincher,0.73,118,"After a fateful near-miss, an assassin (Michael Fassbender) battles his employers, and himself, on an international manhunt he insists isn't personal. [Netflix]","Alexis Nolent, Luc Jacamon, Andrew Kevin Walker"
RoboCop,1987,Paul Verhoeven,/movie/robocop/,RoboCop,1987,Paul Verhoeven,0.7,102,"When Officer Alex J. Murphy (Weller) is murdered in a futuristic crime-ridden Detroit, scientists and doctors decide to turn him into a ""Robocop"". He seeks revenge when memories of his past life return.","Edward Neumeier, Michael Miner"
Violent Night,2022,Tommy Wirkola,/movie/violent-night/,Violent Night,2022,Tommy Wirkola,0.55,101,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus (David Harbour) is on the grounds, and he’s about to show why this Nick is no saint.","Pat Casey, Josh Miller"
You Were Never Really Here,2017,Lynne Ramsay,/movie/you-were-never-really-here/,You Were Never Really Here,2018,Lynne Ramsay,0.84,89,"A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.","Lynne Ramsay, Jonathan Ames"
Dredd,2012,Pete Travis,/movie/dredd/,Dredd,2012,Pete Travis,0.6,95,"The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega City One--a vast, violent metropolis where criminals rule the chaotic streets. The only force of order lies with the urban cops called ""Judges"" who possess the combined powers of judge, jury and instant executioner. Known an...","John Wagner, Carlos Ezquerra, Alex Garland"
Kimi,2022,Steven Soderbergh,/movie/kimi/,Kimi,2022,Steven Soderbergh,0.79,89,An agoraphobic Seattle tech worker (Zoë Kravitz) uncovers evidence of a crime.,David Koepp
Sisu,2022,Jalmari Helander,/movie/sisu/,Sisu,2023,Jalmari Helander,0.7,91,"During the last desperate days of WWII, a solitary prospector (Jorma Tommila) crosses paths with Nazis on a scorched-earth retreat in northern Finland. When the Nazis steal his gold, they quickly discover that they have just tangled with no ordinary miner. While there is no direct translation for the Finnish word “sisu”, this legendary e...",Jalmari Helander
Emily the Criminal,2022,John Patton Ford,/movie/emily-the-criminal/,Emily the Criminal,2022,John Patton Ford,0.75,93,"Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal record. Desperate for income, she takes a shady gig as a “dummy shopper,” buying goods with stolen credit cards supplied by a handsome and charismatic middleman named Youcef (Theo Rossi). Faced with a series of dead-end job intervie...",John Patton Ford
Nobody,2021,Ilya Naishuller,/movie/nobody/,Nobody,2021,Ilya Naishuller,0.64,92,"When two thieves break into his suburban home one night, Hutch (Bob Odenkirk) declines to defend himself or his family, hoping to prevent serious violence. His teenage son, Blake (Gage Munroe), is disappointed in him and his wife, Becca (Connie Nielsen), seems to pull only further away.  The aftermath of the incident strikes a match to H...",Derek Kolstad
Casino Royale,2006,Martin Campbell,/movie/casino-royale/,Casino Royale,2006,Martin Campbell,0.8,144,"After earning his license to kill, James Bond's first 007 mission takes him to Madagascar where he is to spy on a terrorist. Not everything goes as planned and Bond decides to investigate, independently of MI6. Following a lead to the Bahamas, he encounters Alex Dimitrios (Simon Abkarian) and his girlfriend, Solange (Caterina Murino). He...","Neal Purvis, Robert Wade, Paul Haggis, Ian Fleming"
Flow,2024,Gints Zilbalodis,/movie/flow/,Flow,2024,Gints Zilbalodis,0.87,84,"A wondrous journey, through realms natural and mystical, Flow follows a courageous cat after his home is devastated by a great flood. Teaming up with a capybara, a lemur, a bird, and a dog to navigate a boat in search of dry land, they must rely on trust, courage, and wits to survive the perils of a newly aquatic planet.","Gints Zilbalodis, Matiss Kaza, Ron Dyens"
Howl's Moving Castle,2004,Hayao Miyazaki,/movie/howls-moving-castle/,Howl's Moving Castle,2005,Hayao Miyazaki,0.82,119,An amazing new animated adventure that celebrates the power of love to transform and the resiliency of the human spirit in the face of adversity.  (Disney),"Hayao Miyazaki, Diana Wynne Jones"
Pokemon Detective Pikachu,2019,Rob Letterman,/movie/pokemon-detective-pikachu/,Pokémon Detective Pikachu,2019,Rob Letterman,0.53,104,"The first-ever live-action Pokémon adventure begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry’s former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himse...","Dan Hernandez, Benji Samit, Rob Letterman, Derek Connolly"
The Last Unicorn,1982,"Jules Bass, Arthur Rankin Jr.",/movie/the-last-unicorn/,The Last Unicorn,1982,"Jules Bass, Arthur Rankin Jr.",0.7,92,A brave unicorn and a magician fight an evil King who is obsessed with attempting to capture the world's unicorns.,Peter S. Beagle
Princess Mononoke,1997,Hayao Miyazaki,/movie/princess-mononoke/,Princess Mononoke,1999,Hayao Miyazaki,0.76,134,The mythological tale of a war between encroaching civilization and the beast gods of the forest.  (Miramax),Hayao Miyazaki
Millennium Actress,2001,"Satoshi Kon, Kô Matsuo",/movie/millennium-actress/,Millennium Actress,2003,"Satoshi Kon, Kô Matsuo",0.7,87,"In this unique epic adventure, the lines between the past and the present, and truth and fiction, are blurred when a documentary filmmaker fulfills his quest to find the legendary actress Chiyoko Fujiwara, and learn why she mysteriously vanished at the height of her brilliant career.  (Go Fish Pictures)","Satoshi Kon, Sadayuki Murai"
Akira,1988,Katsuhiro Ôtomo,/movie/akira/,Akira,1989,Katsuhiro Ôtomo,0.68,124,"Based on Katsuhiro Otomo's 2,000 page manga, Akira begins on July 16, 1988, when what was believed to be an atomic bomb was dropped on Tokyo, completely destroying the city and marking the beginning of WWIII.","Katsuhiro Ôtomo, Izô Hashimoto"
All the Beauty and the Bloodshed,2022,Laura Poitras,/movie/all-the-beauty-and-the-bloodshed/,All the Beauty and the Bloodshed,2022,Laura Poitras,0.91,113,"All the Beauty and the Bloodshed is an epic, emotional and interconnected story about internationally renowned artist and activist Nan Goldin told through her slideshows, intimate interviews, ground-breaking photography, and rare footage of her personal fight to hold the Sackler family accountable for the overdose crisis. [Neon]",
Ex Machina,2014,Alex Garland,/movie/ex-machina/,Ex Machina,2015,Alex Garland,0.78,108,"Caleb Smith (Domhnall Gleeson), a programmer at an internet-search giant, wins a competition to spend a week at the private mountain estate of the company’s brilliant and reclusive CEO, Nathan Bateman (Oscar Isaac). Upon his arrival, Caleb learns that Nathan has chosen him to be the human component in a Turing Test—charging him with eval...",Alex Garland
Harold & Kumar Go to White Castle,2004,Danny Leiner,/movie/harold-kumar-go-to-white-castle/,Harold & Kumar Go to White Castle,2004,Danny Leiner,0.64,88,"In the great cinematic tradition of ""Road Trip"" and ""Dude, Where's My Car?"" comes Harold and Kumar Go to White Castle, which follows two likeable underdogs who set out on a Friday night quest to satisfy their craving for White Castle hamburgers and end up on an epic journey of deep thoughts, deeper inhaling and a wild road trip as un-PC ...","Jon Hurwitz, Hayden Schlossberg"
