Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
Eyes Wide Shut,1999,/movie/eyes-wide-shut/,0.69,"A doctor (Tom Cruise) becomes obsessed with having a sexual experience after his wife, Alice (Nicole Kidman), confesses to having fantasies about a random servicemen she briefly encountered over a year ago.",Stanley Kubrick,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler",1999-07-16,159
Janet Planet,2023,/movie/janet-planet/,0.83,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet and her spellbinding nature. In her solitary moments, Lacy inhabits an inner world so extraordinarily d...",Annie Baker,Annie Baker,2024-06-21,113
Small Things Like These,2024,/movie/small-things-like-these/,0.82,"It is 1985 in the run-up to Christmas in a small town in County Wexford, Ireland. Bill Furlong (Cillian Murphy) toils as a coal merchant to support himself, his wife and his five daughters. Early one morning while out delivering coal at the local convent, he makes a discovery that forces him to confront his past and the complicit silence...",Tim Mielants,"Enda Walsh, Claire Keegan",2024-11-08,96
The Beast,2023,/movie/the-beast-2023/,0.8,"The year is 2044: artificial intelligence controls all facets of a stoic society as humans routinely “erase” their feelings. Hoping to eliminate pain caused by their past-life romances, Gabrielle (Léa Seydoux) continually falls in love with different incarnations of Louis (George MacKay). Set first in Belle Époque-era Paris Louis is a Br...",Bertrand Bonello,"Bertrand Bonello, Benjamin Charbit, Guillaume Bréaud, Henry James",2024-04-05,146
Conclave,2024,/movie/conclave/,0.79,Conclave follows one of the world’s most secretive and ancient events – selecting a new Pope. Cardinal Lawrence (Ralph Fiennes) is tasked with running this covert process after the unexpected death of the beloved Pope. Once the Catholic Church’s most powerful leaders have gathered from around the world and are locked together in the Vati...,Edward Berger,"Peter Straughan, Robert Harris",2024-10-25,120
Tangerine,2015,/movie/tangerine/,0.86,"It's Christmas Eve in Tinseltown and Sin-Dee (newcomer Kitana Kiki Rodriguez) is back on the block. Upon hearing that her pimp boyfriend (James Ransone, STARLET, ""Generation Kill"") hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra (newcomer Mya Taylor), embark on a mission to get t...",Sean Baker,"Sean Baker, Chris Bergoch",2015-07-10,88
La Cocina,2024,/movie/la-cocina/,0.74,"It is the lunchtime rush at The Grill, a New York tourist trap that serves thousands of customers on a regular Friday like today. Money has gone missing from the till and all the workers are being questioned. Most of them are illegal immigrants and they struggle to defend their job, their only rightful place in the world, as they prepare...",Alonso Ruizpalacios,"Alonso Ruizpalacios, Arnold Wesker",2024-10-25,139
Bird,2024,/movie/bird-2024/,0.74,12-year-old Bailey (Nykiya Adams) lives with her single dad Bug (Barry Keoghan) and brother Hunter (Jason Buda) in a squat in North Kent. Bug doesn’t have much time for his kids and Bailey who is approaching puberty seeks attention and adventure elsewhere.,Andrea Arnold,Andrea Arnold,2024-11-08,119
Fish Tank,2009,/movie/fish-tank/,0.81,"The film is an emotionally stunning coming-of-age story, electrified by the breakthrough performance of its young star Katie Jarvis. Fifteen-year-old Mia is in a constant state of war with her family and the world around her, without any creative outlet for her considerable energies save a secret love of hip-hop dance. When she meets her...",Andrea Arnold,Andrea Arnold,2010-01-15,123
Do Not Expect Too Much from the End of the World,2023,/movie/do-not-expect-too-much-from-the-end-of-the-world/,0.95,An overworked and underpaid production assistant must drive around the city of Bucharest to film the casting for a workplace safety video commissioned by a multinational company. When one of her interviewees makes a statement that ignites a scandal she is forced to re-invent the whole story. [MUBI],Radu Jude,Radu Jude,2024-03-22,163
"Paris, Texas",1984,/movie/paris-texas/,0.81,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,"L.M. Kit Carson, Sam Shepard, Walter Donohue",1984-11-02,145
His Three Daughters,2023,/movie/his-three-daughters/,0.84,"Three estranged sisters (Carrie Coon, Elizabeth Olsen, and Natasha Lyonne) converge in a New York apartment to care for their ailing father and try to mend their own broken relationship with one another.",Azazel Jacobs,Azazel Jacobs,2024-09-06,101
Only the River Flows,2023,/movie/only-the-river-flows/,0.7,"1990s small town China. A woman’s body washes up in the local river. The chief of police, Ma Zhe, is tasked with heading up the investigation. An obvious perp leads to a hasty arrest, though the mystery lingers in Ma Zhe’s mind. What kind of darkness is truly at play here?",Wei Shujun,"Chunlei Kang, Wei Shujun, Hua Yu",2024-07-26,101
Good One,2024,/movie/good-one/,0.87,"On a weekend backpacking trip in the Catskills, 17-year-old Sam contends with the competing egos of her father and his oldest friend.",India Donaldson,India Donaldson,2024-08-09,90
Sing Sing,2023,/movie/sing-sing/,0.83,"Divine G (Colman Domingo), imprisoned at Sing Sing for a crime he didn’t commit, finds purpose by acting in a theatre group alongside other incarcerated men, including a wary newcomer (Clarence Maclin), in this stirring true story of resilience, humanity, and the transformative power of art, starring an unforgettable ensemble cast of for...",Greg Kwedar,"John H. Richardson, Brent Buell, Clint Bentley, Greg Kwedar",2024-07-12,105
Challengers,2024,/movie/challengers/,0.82,"Tennis prodigy turned coach Tashi (Zendaya) has taken her husband, Art (Mike Faist), and transformed him into a world-famous grand slam champion. To jolt him out of his recent losing streak, she makes him play a “Challenger” event — close to the lowest level of pro tournament — where he finds himself standing across the net from his form...",Luca Guadagnino,Justin Kuritzkes,2024-04-26,131
On the Count of Three,2021,/movie/on-the-count-of-three/,0.74,"Val (Jerrod Carmichael) has reached a place where he feels the only way out is to end things. But he considers himself a bit of a failure—his effectiveness lacking—so he figures he could use some help. As luck would have it, Val’s best friend, Kevin (Christopher Abbott), is recovering from a failed suicide attempt, so he seems like the p...",Jerrod Carmichael,"Ari Katcher, Ryan Welch",2022-05-13,85
The Piano,1993,/movie/the-piano/,0.89,"A seemingly mute woman (Hunter) is sent to New Zealand together with her daughter and her beloved piano, for an arranged marriage.",Jane Campion,Jane Campion,1993-11-01,121
Petite Maman,2021,/movie/petite-maman/,0.93,Nelly has just lost her grandmother and is helping her parents clean out her mother's childhood home. She explores the house and the surrounding woods. One day she meets a girl her same age building a treehouse.,Céline Sciamma,Céline Sciamma,2021-12-03,72
Asteroid City,2023,/movie/asteroid-city/,0.76,"In a fictional American desert town circa 1955, the itinerary of a Junior Stargazer/Space Cadet convention (organized to bring together students and parents from across the country for fellowship and scholarly competition) is spectacularly disrupted by world-changing events.",Wes Anderson,"Wes Anderson, Roman Coppola",2023-06-16,104
Happening,2021,/movie/happening/,0.86,"France, 1963. Anne is a bright young student with a promising future ahead of her. But when she falls pregnant, she sees the opportunity to finish her studies and escape the constraints of her social background disappearing. With her final exams fast approaching and her belly growing, Anne resolves to act, even if she has to confront sha...",Audrey Diwan,"Marcia Romano, Audrey Diwan, Annie Ernaux, Anne Berest, Alice Girard",2022-05-06,100
Goodfellas,1990,/movie/goodfellas/,0.92,"Based on the bestselling book ""Wiseguy"" by Nicholas Pileggi, Scorsese's film profiles nearly 30 years of mob life in New York City.",Martin Scorsese,"Nicholas Pileggi, Martin Scorsese",1990-09-01,146
All Dirt Roads Taste of Salt,2023,/movie/all-dirt-roads-taste-of-salt/,0.87,"A decades-spanning exploration of a woman’s life in Mississippi and an ode to the generations of people, places, and ineffable moments that shape us.",Raven Jackson,Raven Jackson,2023-11-03,92
Morvern Callar,2002,/movie/morvern-callar/,0.78,An aimless supermarket clerk (Morton) in a small Scottish town gets a new lease on life upon discovering her boyfriend dead under their Christmas tree.,Lynne Ramsay,"Lynne Ramsay, Liana Dognini, Alan Warner",2002-12-20,97
The Wonderful Story of Henry Sugar,2023,/movie/the-wonderful-story-of-henry-sugar/,0.85,"This short anthology film adapts four of the stories in the Roald Dahl collection ""The Wonderful Story of Henry Sugar and Six More."" The main story follows Henry Sugar, who is able to see through objects and predict the future with the help of a stolen book.",Wes Anderson,"Roald Dahl, Wes Anderson",2023-09-20,37
Frances Ha,2012,/movie/frances-ha/,0.82,"This small budget, black-and white-collaboration between writer/director Noah Baumbach and writer/star Greta Gerwig centers on Frances (Gerwig), an apprentice dancer fumbling through post-college life in New York City.",Noah Baumbach,"Noah Baumbach, Greta Gerwig",2013-05-17,86
Love Lies Bleeding,2024,/movie/love-lies-bleeding/,0.77,"Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou’s criminal family.",Rose Glass,"Rose Glass, Weronika Tofilska",2024-03-08,104
Monica,2022,/movie/monica/,0.75,"A woman returns home to care for her ailing mother who she hasn't seen in years in this tender portrait of family, forgiveness, and acceptance.",Andrea Pallaoro,"Andrea Pallaoro, Orlando Tirado",2023-05-12,106
The Zone of Interest,2023,/movie/the-zone-of-interest/,0.92,"The commandant of Auschwitz, Rudolf Höss, and his wife Hedwig, strive to build a dream life for their family in a house and garden next to the camp.",Jonathan Glazer,"Jonathan Glazer, Martin Amis",2023-12-15,105
Society of the Snow,2023,/movie/society-of-the-snow/,0.72,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.,J.A. Bayona,"J.A. Bayona, Bernat Vilaplana, Jaime Marques, Nicolás Casariego, Pablo Vierci",2023-12-22,144
The Teachers' Lounge,2023,/movie/the-teachers-lounge/,0.82,"Carla Nowak (Leonie Benesch) is a dedicated, idealistic young teacher in her first job at a German middle school. Her relaxed rapport with her seventh-grade students is put under stress when a series of thefts occur at the school, and a staff investigation leads to accusations and mistrust among outraged parents, opinionated colleagues, ...",Ilker Çatak,"Johannes Duncker, Ilker Çatak",2023-12-25,98
All of Us Strangers,2023,/movie/all-of-us-strangers/,0.9,"One night in his near-empty tower block in contemporary London, Adam (Andrew Scott) has a chance encounter with a mysterious neighbor Harry (Paul Mescal), which punctures the rhythm of his everyday life. As a relationship develops between them, Adam is preoccupied with memories of the past and finds himself drawn back to the suburban tow...",Andrew Haigh,"Andrew Haigh, Taichi Yamada",2023-12-22,105
Casablanca,1942,/movie/casablanca/,1.0,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.",Michael Curtiz,"Philip G. Epstein, Julius J. Epstein, Howard Koch, Murray Burnett, Joan Alison, Casey Robinson",1943-01-23,102
May December,2023,/movie/may-december/,0.86,"After their relationship ignited a tabloid saga two decades ago, Gracie (Julianne Moore) and Joe (Charles Melton) now lead a seemingly perfect suburban life. Their domestic bliss is disrupted when Elizabeth (Natalie Portman), a famous television actress, arrives in their tight-knit community to research her upcoming role as Gracie. As El...",Todd Haynes,"Samy Burch, Alex Mechanik",2023-11-17,113
Anatomy of a Fall,2023,/movie/anatomy-of-a-fall/,0.86,"For the past year, Sandra (Sandra Hüller), her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a remote town in the French Alps. When Samuel is found dead in the snow below their chalet, the police question whether he was murdered or committed suicide. Samuel's suspicious death is presumed murder, and S...",Justine Triet,"Justine Triet, Arthur Harari",2023-10-13,150
