Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
They Cloned Tyrone,2023,/movie/they-cloned-tyrone/,0.74,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,Juel Taylor,"Tony Rettenmaier, Juel Taylor",2023-07-14,122
Outlaw Johnny Black,2023,/movie/outlaw-johnny-black/,0.54,"Hell bent on avenging the death of his father, Johnny Black (Michael Jai White) vows to gun down Brett Clayton and becomes a wanted man in the process while posing as a preacher in a small mining town that's been taken over by a notorious Land Baron.",Michael Jai White,"Byron Minns, Michael Jai White",2023-09-15,130
The Unbearable Weight of Massive Talent,2022,/movie/the-unbearable-weight-of-massive-talent/,0.68,"Creatively unfulfilled and facing financial ruin, the fictionalized version of Nicolas Cage must accept a $1 million offer to attend the birthday of a dangerous superfan (Pedro Pascal). Things take a wildly unexpected turn when Cage is recruited by a CIA operative (Tiffany Haddish) and forced to live up to his own legend, channeling his ...",Tom Gormican,"Tom Gormican, Kevin Etten",2022-04-22,105
No Hard Feelings,2023,/movie/no-hard-feelings/,0.59,"On the brink of losing her childhood home, Maddie (Jennifer Lawrence) discovers an intriguing job listing: wealthy helicopter parents looking for someone to “date” their introverted 19-year-old son, Percy, before he leaves for college. To her surprise, Maddie soon discovers the awkward Percy is no sure thing.",Gene Stupnitsky,"Gene Stupnitsky, John Phillips",2023-06-23,103
El Conde,2023,/movie/el-conde/,0.72,"Pablo Larraín's new film is a satire that portrays a universe in which Augusto Pinochet, a 250-year-old vampire who, tired of being remembered as a thief, decides to die. [Netflix]",Pablo Larraín,"Guillermo Calderón, Pablo Larraín",2023-09-08,110
Drive-Away Dolls,2024,/movie/drive-away-dolls/,0.56,"Jamie (Margaret Qualley) is an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian (Geraldine Viswanathan) desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of ...",Ethan Coen,"Ethan Coen, Tricia Cooke",2024-02-23,84
Barbie,2023,/movie/barbie/,0.8,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you’re a Ken.,Greta Gerwig,"Greta Gerwig, Noah Baumbach",2023-07-21,114
American Fiction,2023,/movie/american-fiction/,0.81,"Monk (Jeffrey Wright) is a frustrated novelist who’s fed up with the establishment profiting from “Black” entertainment that relies on tired and offensive tropes. To prove his point, Monk uses a pen name to write an outlandish “Black” book of his own, a book that propels him to the heart of hypocrisy and the madness he claims to disdain.",Cord Jefferson,"Cord Jefferson, Percival Everett",2023-12-15,117
Sanctuary,2022,/movie/sanctuary/,0.67,"Rebecca (Margaret Qualley), and her wealthy client, Hal (Christopher Abbott), engage in a high stakes role playing game for power and control.  In the wake of inheriting his father’s hotel chain, Hal attempts to end his long and secret relationship with Rebecca. A battle of wills ensues over the course of one incredibly fraught night, wi...",Zachary Wigon,Micah Bloomberg,2023-05-19,96
Werewolves Within,2021,/movie/werewolves-within/,0.66,"After a proposed pipeline creates divisions within the small town of Beaverfield, and a snowstorm traps its residents together inside the local inn, newly arrived forest ranger Finn (Sam Richardson) and postal worker Cecily (Milana Vayntrub) must try to keep the peace and uncover the truth behind a mysterious creature that has begun terr...",Josh Ruben,Mishna Wolff,2021-06-25,97
The Holdovers,2023,/movie/the-holdovers/,0.82,"A curmudgeonly instructor (Paul Giamatti) at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually he forms an unlikely bond with one of them -- a damaged, brainy troublemaker (newcomer Dominic Sessa) -- and with the school’s head cook, who has jus...",Alexander Payne,David Hemingson,2023-10-27,133
7 Days,2021,/movie/7-days/,0.72,"Set-up on a pre-arranged date by their old-fashioned Indian parents, Ravi (Karan Soni) and Rita (Geraldine Viswanathan) seemingly have nothing in common. The situation turns both awkward and enlightening when they find themselves trapped inside together for a week.",Roshan Sethi,"Roshan Sethi, Karan Soni",2022-03-25,86
Shiva Baby,2020,/movie/shiva-baby/,0.79,"At a Jewish funeral service with her parents, a college student runs into her sugar daddy.",Emma Seligman,Emma Seligman,2021-04-02,77
Bottoms,2023,/movie/bottoms/,0.74,PJ (Rachel Sennott) and Josie (Ayo Edebiri) start a fight club as a way to lose their virginities to cheerleaders. Their bizarre plan works. The fight club gains traction and soon the most popular girls in school are beating each other up in the name of self-defense. But PJ and Josie find themselves in over their heads and in need of a w...,Emma Seligman,"Emma Seligman, Rachel Sennott",2023-08-25,92
Joy Ride,2023,/movie/joy-ride-2023/,0.74,"When Audrey’s (Ashley Park) business trip to Asia goes sideways, she enlists the aid of Lolo (Sherry Cola), her irreverent, childhood best friend who also happens to be a hot mess; Kat (Stephanie Hsu), her college friend turned Chinese soap star; and Deadeye (Sabrina Wu), Lolo’s eccentric cousin. Their no-holds-barred, epic experience be...",Adele Lim,"Cherry Chevapravatdumrong, Teresa Hsiao, Adele Lim",2023-07-07,95
"Confess, Fletch",2022,/movie/confess-fletch/,0.64,"Fletch (Jon Hamm) becomes the prime suspect in a murder case while searching for a stolen art collection. The only way to prove his innocence? Find out which of the long list of suspects is the culprit—from the eccentric art dealer and a missing playboy to a crazy neighbor and Fletch’s Italian girlfriend. Crime, in fact, has never been t...",Greg Mottola,"Gregory McDonald, Greg Mottola, Zev Borow",2022-09-16,98
Inspector Ike,2020,/movie/inspector-ike/,,"Inspector Ike, New York City’s greatest police detective, finds himself in a high-stakes game of cat-and-mouse after the conniving understudy of an avant-garde theater group knocks off the star actor. A “lost TV movie” from the 1970’s, Inspector Ike mixes visual gags, slapstick, gross food, and heartfelt emotion. Think Columbo meets The ...",Graham Mason,"Graham Mason, Ikechukwu Ufomadu",2022-02-18,82
Licorice Pizza,2021,/movie/licorice-pizza/,0.9,"Licorice Pizza is the story of Alana Kane and Gary Valentine growing up, running around and falling in love in the San Fernando Valley, 1973. Written and Directed by Paul Thomas Anderson, the film tracks the treacherous navigation of first love.",Paul Thomas Anderson,Paul Thomas Anderson,2021-11-26,133
Dinner in America,2020,/movie/dinner-in-america/,0.8,An on-the-lam punk rocker and a young woman obsessed with his band go on an unexpected and epic journey together through the decaying suburbs of the American Midwest.,Adam Rehmeier,Adam Rehmeier,2022-05-27,106
Brian and Charles,2022,/movie/brian-and-charles/,0.66,"Brian is a lonely inventor in rural Wales who spends his days building quirky, unconventional contraptions that seldom work. Undeterred by his lack of success, Brian attempts his biggest project yet. Three days, a washing machine, and various spare parts later, he’s invented Charles, an artificially intelligent robot who learns English f...",Jim Archer,"David Earl, Chris Hayward",2022-06-17,90
Borat Subsequent Moviefilm,2020,/movie/borat-subsequent-moviefilm-delivery-of-prodigious-bribe-to-american-regime-for-make-benefit-once-glo/,0.68,"14 years later, Kazakh TV talking head Borat is once again dispatched to the United States to report on the greatest country in the world.",Jason Woliner,"Sacha Baron Cohen, Anthony Hines, Dan Swimer, Peter Baynham",2020-10-22,95
The Nature of Love,2023,/movie/the-nature-of-love/,0.8,"Sophia, a 40-year-old philosophy professor, has been in a stable and conventional marriage to Xavier for a decade. From gallery openings to endless dinner parties, ten years have flown by. When Sophia meets Sylvain, a craftsman renovating the couple’s new country house, Sophia’s world is turned upside down. The two begin a passionate aff...",Monia Chokri,Monia Chokri,2024-07-05,111
Molli and Max in the Future,2023,/movie/molli-and-max-in-the-future/,0.7,"A sci-fi romantic comedy about a man and woman whose orbits repeatedly collide over the course of 12 years, 4 planets, 3 dimensions, and one space-cult.",Michael Lukk Litwak,Michael Lukk Litwak,2024-02-09,93
Before Sunset,2004,/movie/before-sunset/,0.91,The timeless romantic story of two questing hearts and minds whose powerful bond defies time and place.  [Warner Independent Pictures],Richard Linklater,"Richard Linklater, Julie Delpy, Ethan Hawke, Kim Krizan",2004-07-02,80
Fallen Leaves,2023,/movie/fallen-leaves/,0.86,"In modern-day Helsinki, two lonely souls (Alma Pöysti and Jussi Vatanen) in search of their first love meet by chance in a local karaoke bar. However, the pair’s path to happiness is beset by numerous obstacles – from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog.",Aki Kaurismäki,Aki Kaurismäki,2023-11-17,81
Portrait of a Lady on Fire,2019,/movie/portrait-of-a-lady-on-fire/,0.95,"France, 1760. Marianne is commissioned to paint the wedding portrait of Héloïse, a young woman who has just left the convent. Because she is a reluctant bride-to-be, Marianne arrives under the guise of companionship, observing Héloïse by day and secretly painting her by firelight at night. As the two women orbit one another, intimacy and...",Céline Sciamma,Céline Sciamma,2019-12-06,122
Before Sunrise,1995,/movie/before-sunrise/,0.79,A romantic look at the relationship between an American traveler and a French grad student who decide to spend a day together in Vienna.,Richard Linklater,"Richard Linklater, Kim Krizan",1995-01-27,105
Rye Lane,2023,/movie/rye-lane/,0.82,Two youngsters reeling from bad breakups who connect over an eventful day in South-London.,Raine Allen-Miller,"Nathan Bryon, Tom Melia",2023-03-31,82
Past Lives,2023,/movie/past-lives/,0.94,"Nora (Greta Lee) and Hae Sung (Teo Yoo), two deeply connected childhood friends, are wrest apart after Nora’s family emigrates from South Korea. Two decades later, they are reunited in New York for one fateful week as they confront notions of destiny and love, and the choices that make a life.",Celine Song,Celine Song,2023-06-02,106
You Hurt My Feelings,2023,/movie/you-hurt-my-feelings-2023/,0.8,A novelist's longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book.,Nicole Holofcener,Nicole Holofcener,2023-05-26,93
Crazy Rich Asians,2018,/movie/crazy-rich-asians/,0.74,"Crazy Rich Asians follows native New Yorker Rachel Chu (Constance Wu) as she accompanies her longtime boyfriend, Nick Young (Henry Golding), to his best friend’s wedding in Singapore.  Excited about visiting Asia for the first time but nervous about meeting Nick’s family, Rachel is unprepared to learn that Nick has neglected to mention a...",Jon M. Chu,"Peter Chiarelli, Adele Lim, Kevin Kwan",2018-08-15,120
Pride & Prejudice,2005,/movie/pride-prejudice/,0.82,Keira Knightly stars as Elizabeth Bennet in this classic tale of love and misunderstanding which unfolds in class-conscious England near the close of the 18th century.  (Focus Features),Joe Wright,"Deborah Moggach, Jane Austen, Emma Thompson",2005-11-11,127
Decision to Leave,2022,/movie/decision-to-leave/,0.85,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",Park Chan-wook,"Park Chan-wook, Chung Seo-kyung",2022-10-14,138
Drive My Car,2021,/movie/drive-my-car/,0.91,"Two years after his wife’s unexpected death, Yusuke Kafuku (Hidetoshi Nishijima), a renowned stage actor and director, receives an offer to direct a production of Uncle Vanya at a theater festival in Hiroshima. There, he meets Misaki Watari (Toko Miura), a taciturn young woman assigned by the festival to chauffeur him in his beloved red ...",Ryûsuke Hamaguchi,"Haruki Murakami, Ryûsuke Hamaguchi, Takamasa Ôe",2021-11-24,179
The Worst Person in the World,2021,/movie/the-worst-person-in-the-world/,0.91,"Director Joachim Trier returns with another modern twist on a classically constructed character portrait of contemporary life in Oslo. Chronicling four years in the life of Julie, The Worst Person in the World examines one woman’s quest for love and meaning in the modern world. Fluidly told in twelve chapters, the film features a breakou...",Joachim Trier,"Eskil Vogt, Joachim Trier",2022-02-04,121
Your Name,2017,/movie/your-name/,0.81,"The day the stars fell, two lives changed forever. High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other. Yet, som...",Makoto Shinkai,Makoto Shinkai,2017-04-07,106
Palm Springs,2020,/movie/palm-springs/,0.83,"While stuck at a wedding in Palm Springs, Nyles (Andy Samberg) meets Sarah (Cristin Milioti), the maid of honor and family black sheep. After he rescues her from a disastrous toast, Sarah becomes drawn to Nyles and his offbeat nihilism. But when their impromptu tryst is thwarted by a surreal interruption, Sarah must join Nyles in embraci...",Max Barbakow,"Andy Siara, Max Barbakow",2020-07-10,90
Gremlins,1984,/movie/gremlins/,0.7,"A cute little ""mogwai"" spawns demented demons when his young owner disregards the advice given by its previous owner.",Joe Dante,Chris Columbus,1984-06-08,106
Mad God,2021,/movie/mad-god/,0.8,"Mad God is an experimental animated film set in a world of monsters, mad scientists and war pigs. A corroded diving bell descends amidst a ruined city, settling down upon an ominous fortress guarded by zombie-like sentries. The Assassin emerges to explore a labyrinth of bizarre, desolate landscapes inhabited by freakish denizens. Through...",Phil Tippett,Phil Tippett,2022-06-16,83
The Substance,2024,/movie/the-substance/,0.78,"Have you ever dreamt of a better version of yourself?
You. Only better in every way.
You've got to try this new product.
It changed my life.",Coralie Fargeat,Coralie Fargeat,2024-09-20,140
Alien: Romulus,2024,/movie/alien-romulus/,0.64,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",Fede Alvarez,"Dan O'Bannon, Ronald Shusett, Fede Alvarez, Rodo Sayagues",2024-08-16,119
Oddity,2024,/movie/oddity/,0.78,"After Dani is brutally murdered, her blind occultist twin sister Darcy goes after those responsible using inherited haunted items as her tools of revenge.",Damian Mc Carthy,Damian Mc Carthy,2024-07-19,98
Piggy,2022,/movie/piggy/,0.72,"With the summer sun beating down on her rural Spanish town, Sara (Laura Galán) hides away in her parent's butcher shop. A teenager whose excess weight makes her the target of incessant bullying, she flees a clique of capricious girls who torment her at the town pool, only to stumble upon them being brutally kidnapped by a stranger, who d...",Carlota Pereda,Carlota Pereda,2022-10-14,90
Talk to Me,2022,/movie/talk-to-me-2022/,0.76,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.","Danny Philippou, Michael Philippou","Danny Philippou, Bill Hinzman, Daley Pearson",2023-07-28,94
Barbarian,2022,/movie/barbarian/,0.78,"In town for a job interview, a young woman arrives at her Airbnb late at night only to find that her rental has been mistakenly double-booked and a strange man is already staying there. Against her better judgement, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the othe...",Zach Cregger,Zach Cregger,2022-09-09,102
M3GAN,2022,/movie/m3gan/,0.72,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child’s greatest companion and a parent’s greatest ally. Designed by brilliant toy-company roboticist Gemma (Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to.  ...",Gerard Johnstone,"Akela Cooper, James Wan",2023-01-06,102
Bodies Bodies Bodies,2022,/movie/bodies-bodies-bodies/,0.69,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game goes awry in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.",Halina Reijn,"Sarah DeLappe, Kristen Roupenian",2022-08-05,94
Under the Skin,2013,/movie/under-the-skin/,0.83,An alien seductress (Scarlett Johansson) preys upon hitchhikers in Scotland.,Jonathan Glazer,"Walter Campbell, Jonathan Glazer, Michel Faber, Milo Addica",2014-04-04,108
Hellraiser,1987,/movie/hellraiser/,0.56,An unfaithful wife encounters the zombie of her dead lover; the demonic cenobites are pursuing him after he escaped their sadomasochistic underworld.,Clive Barker,Clive Barker,1987-09-18,94
Possessor,2020,/movie/possessor-uncut/,0.72,"Possessor is a sci-fi thriller about elite, corporate assassin Tasya Vos (Andrea Riseborough). Using brain-implant technology, Vos takes control of other people’s bodies to execute high profile targets. As she sinks deeper into her latest assignment Vos becomes trapped inside a mind that threatens to obliterate her.",Brandon Cronenberg,Brandon Cronenberg,2020-10-02,103
Gladiator,2000,/movie/gladiator/,0.67,"Before Maximus (Crowe), the heroic Roman General, can honor the wishes of his dying emperor Marcus Aurelius (Harris) by assuming the emperor's role, the emperor's cruel and corrupt son Commodus (Phoenix) orders the execution of Maximus and his family.  Escaping death, Maximus assumes the life of an anonymous gladiator, fighting his way b...",Ridley Scott,"David Franzoni, John Logan, William Nicholson",2000-05-05,155
Godzilla Minus One,2023,/movie/godzilla-minus-one/,0.81,"In postwar Japan, a new terror rises; Godzilla. Will the devastated people be able to survive... let alone fight back?",Takashi Yamazaki,"Takashi Yamazaki, Ishirô Honda, Takeo Murata",2023-12-01,124
Furiosa: A Mad Max Saga,2024,/movie/furiosa-a-mad-max-saga/,0.79,"As the world falls, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by the Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she put...",George Miller,"George Miller, Nick Lathouris",2024-05-24,148
Civil War,2024,/movie/civil-war/,0.75,"From filmmaker Alex Garland comes a journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",Alex Garland,Alex Garland,2024-04-12,109
The Killer,2023,/movie/the-killer-2023/,0.73,"After a fateful near-miss, an assassin (Michael Fassbender) battles his employers, and himself, on an international manhunt he insists isn't personal. [Netflix]",David Fincher,"Alexis Nolent, Luc Jacamon, Andrew Kevin Walker",2023-10-27,118
RoboCop,1987,/movie/robocop/,0.7,"When Officer Alex J. Murphy (Weller) is murdered in a futuristic crime-ridden Detroit, scientists and doctors decide to turn him into a ""Robocop"". He seeks revenge when memories of his past life return.",Paul Verhoeven,"Edward Neumeier, Michael Miner",1987-07-17,102
Violent Night,2022,/movie/violent-night/,0.55,"When a team of mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage, the team isn’t prepared for a surprise combatant: Santa Claus (David Harbour) is on the grounds, and he’s about to show why this Nick is no saint.",Tommy Wirkola,"Pat Casey, Josh Miller",2022-12-02,101
You Were Never Really Here,2017,/movie/you-were-never-really-here/,0.84,"A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",Lynne Ramsay,"Lynne Ramsay, Jonathan Ames",2018-04-06,89
Dredd,2012,/movie/dredd/,0.6,"The future America is an irradiated waste land. On its East Coast, running from Boston to Washington DC, lies Mega City One--a vast, violent metropolis where criminals rule the chaotic streets. The only force of order lies with the urban cops called ""Judges"" who possess the combined powers of judge, jury and instant executioner. Known an...",Pete Travis,"John Wagner, Carlos Ezquerra, Alex Garland",2012-09-21,95
Kimi,2022,/movie/kimi/,0.79,An agoraphobic Seattle tech worker (Zoë Kravitz) uncovers evidence of a crime.,Steven Soderbergh,David Koepp,2022-02-10,89
Sisu,2022,/movie/sisu/,0.7,"During the last desperate days of WWII, a solitary prospector (Jorma Tommila) crosses paths with Nazis on a scorched-earth retreat in northern Finland. When the Nazis steal his gold, they quickly discover that they have just tangled with no ordinary miner. While there is no direct translation for the Finnish word “sisu”, this legendary e...",Jalmari Helander,Jalmari Helander,2023-04-28,91
Emily the Criminal,2022,/movie/emily-the-criminal/,0.75,"Emily (Aubrey Plaza) is saddled with student debt and locked out of the job market due to a minor criminal record. Desperate for income, she takes a shady gig as a “dummy shopper,” buying goods with stolen credit cards supplied by a handsome and charismatic middleman named Youcef (Theo Rossi). Faced with a series of dead-end job intervie...",John Patton Ford,John Patton Ford,2022-08-12,93
Nobody,2021,/movie/nobody/,0.64,"When two thieves break into his suburban home one night, Hutch (Bob Odenkirk) declines to defend himself or his family, hoping to prevent serious violence. His teenage son, Blake (Gage Munroe), is disappointed in him and his wife, Becca (Connie Nielsen), seems to pull only further away.  The aftermath of the incident strikes a match to H...",Ilya Naishuller,Derek Kolstad,2021-03-26,92
Casino Royale,2006,/movie/casino-royale/,0.8,"After earning his license to kill, James Bond's first 007 mission takes him to Madagascar where he is to spy on a terrorist. Not everything goes as planned and Bond decides to investigate, independently of MI6. Following a lead to the Bahamas, he encounters Alex Dimitrios (Simon Abkarian) and his girlfriend, Solange (Caterina Murino). He...",Martin Campbell,"Neal Purvis, Robert Wade, Paul Haggis, Ian Fleming",2006-11-17,144
Flow,2024,/movie/flow/,0.87,"A wondrous journey, through realms natural and mystical, Flow follows a courageous cat after his home is devastated by a great flood. Teaming up with a capybara, a lemur, a bird, and a dog to navigate a boat in search of dry land, they must rely on trust, courage, and wits to survive the perils of a newly aquatic planet.",Gints Zilbalodis,"Gints Zilbalodis, Matiss Kaza, Ron Dyens",2024-11-22,84
Howl's Moving Castle,2004,/movie/howls-moving-castle/,0.82,An amazing new animated adventure that celebrates the power of love to transform and the resiliency of the human spirit in the face of adversity.  (Disney),Hayao Miyazaki,"Hayao Miyazaki, Diana Wynne Jones",2005-06-10,119
Pokemon Detective Pikachu,2019,/movie/pokemon-detective-pikachu/,0.53,"The first-ever live-action Pokémon adventure begins when ace detective Harry Goodman goes mysteriously missing, prompting his 21-year-old son Tim to find out what happened. Aiding in the investigation is Harry’s former Pokémon partner, Detective Pikachu: a hilariously wise-cracking, adorable super-sleuth who is a puzzlement even to himse...",Rob Letterman,"Dan Hernandez, Benji Samit, Rob Letterman, Derek Connolly",2019-05-10,104
The Last Unicorn,1982,/movie/the-last-unicorn/,0.7,A brave unicorn and a magician fight an evil King who is obsessed with attempting to capture the world's unicorns.,"Jules Bass, Arthur Rankin Jr.",Peter S. Beagle,1982-11-19,92
Princess Mononoke,1997,/movie/princess-mononoke/,0.76,The mythological tale of a war between encroaching civilization and the beast gods of the forest.  (Miramax),Hayao Miyazaki,Hayao Miyazaki,1999-10-29,134
Millennium Actress,2001,/movie/millennium-actress/,0.7,"In this unique epic adventure, the lines between the past and the present, and truth and fiction, are blurred when a documentary filmmaker fulfills his quest to find the legendary actress Chiyoko Fujiwara, and learn why she mysteriously vanished at the height of her brilliant career.  (Go Fish Pictures)","Satoshi Kon, Kô Matsuo","Satoshi Kon, Sadayuki Murai",2003-09-12,87
Akira,1988,/movie/akira/,0.68,"Based on Katsuhiro Otomo's 2,000 page manga, Akira begins on July 16, 1988, when what was believed to be an atomic bomb was dropped on Tokyo, completely destroying the city and marking the beginning of WWIII.",Katsuhiro Ôtomo,"Katsuhiro Ôtomo, Izô Hashimoto",1989-12-25,124
All the Beauty and the Bloodshed,2022,/movie/all-the-beauty-and-the-bloodshed/,0.91,"All the Beauty and the Bloodshed is an epic, emotional and interconnected story about internationally renowned artist and activist Nan Goldin told through her slideshows, intimate interviews, ground-breaking photography, and rare footage of her personal fight to hold the Sackler family accountable for the overdose crisis. [Neon]",Laura Poitras,,2022-11-23,113
Ex Machina,2014,/movie/ex-machina/,0.78,"Caleb Smith (Domhnall Gleeson), a programmer at an internet-search giant, wins a competition to spend a week at the private mountain estate of the company’s brilliant and reclusive CEO, Nathan Bateman (Oscar Isaac). Upon his arrival, Caleb learns that Nathan has chosen him to be the human component in a Turing Test—charging him with eval...",Alex Garland,Alex Garland,2015-04-10,108
Harold & Kumar Go to White Castle,2004,/movie/harold-kumar-go-to-white-castle/,0.64,"In the great cinematic tradition of ""Road Trip"" and ""Dude, Where's My Car?"" comes Harold and Kumar Go to White Castle, which follows two likeable underdogs who set out on a Friday night quest to satisfy their craving for White Castle hamburgers and end up on an epic journey of deep thoughts, deeper inhaling and a wild road trip as un-PC ...",Danny Leiner,"Jon Hurwitz, Hayden Schlossberg",2004-07-30,88
Troll 2,1990,/movie/troll-2/,,"A vacationing family discovers that the entire town they're visiting is inhabited by goblins, disguised as humans, who plan to eat them.",Claudio Fragasso,"Claudio Fragasso, Rossella Drudi",1990-10-12,95
Tank Girl,1995,/movie/tank-girl/,0.46,"A girl is among the few survivors of a dystopian Earth. Riding a war tank, she fights against the tyranny of a mega-corporation that dominates the remaining potable water supply of the planet.",Rachel Talalay,"Alan Martin, Jamie Hewlett, Tedi Sarafian",1995-03-31,104
Bean,1997,/movie/bean/,0.52,"Rowan Atkinson is the outrageous Mr. Bean, sent on a mission to California to escort the world famous painting of 'Whistler's Mother' to its new home in The Grierson Gallery. What the gallery owner, one of the richest men in America, and his curator David Langley (MacNicol) believe, is that Mr. Bean is Dr. Bean, a renowned art expert. In...",Mel Smith,"Rowan Atkinson, Richard Curtis, Robin Driscoll",1997-11-07,90
Twilight,2008,/movie/twilight/,0.56,"Bella Swan has always been a little bit different, never caring about fitting in with the trendy girls at her Phoenix high school. When her mother re-marries and sends Bella to live with her father in the rainy little town of Forks, Washington, she doesn't expect much of anything to change. Then she meets the mysterious and dazzlingly be...",Catherine Hardwicke,"Melissa Rosenberg, Stephenie Meyer",2008-11-21,122
Black Dynamite,2009,/movie/black-dynamite/,0.65,"When “The Man” murders his brother, pumps heroin into local orphanages, and floods the ghetto with adulterated malt liquor, Black Dynamite is the one hero willing to fight all the way from the blood-soaked city streets to the hallowed halls of the Honky House. (Harbor Entertainment)",Scott Sanders,"Michael Jai White, Byron Minns, Scott Sanders",2009-09-04,84
Starship Troopers,1997,/movie/starship-troopers/,0.52,"From the bridge of the Fleet Battlestation Ticonderoga, with its sweeping galactic views, to the desolate terrain of planet Klendathu, teeming with shrieking, fire-spitting, brain-sucking special effects creatures, acclaimed director Paul Verhoven crafts a dazzling epic based on Robert A. Heinlein's classic sci-fi adventure.  Courageous ...",Paul Verhoeven,"Edward Neumeier, Robert A. Heinlein",1997-11-07,129
The Man from U.N.C.L.E.,2015,/movie/the-man-from-uncle/,0.56,"In the early 1960s, CIA agent Napoleon Solo (Henry Cavill) and KGB agent Illya Kuryakin (Armie Hammer) are forced to put aside longstanding hostilities and team up on a joint mission to stop a mysterious international criminal organization, which is bent on destabilizing the fragile balance of power through the proliferation of nuclear w...",Guy Ritchie,"Guy Ritchie, Lionel Wigram, Jeff Kleeman, David C. Wilson, Sam Rolfe",2015-08-14,116
Kiss Kiss Bang Bang,2005,/movie/kiss-kiss-bang-bang/,0.73,A petty thief (Robert Downey Jr.) posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl (Michelle Monaghan) and a detective (Val Kilmer) who's been training him for his upcoming role.,Shane Black,"Brett Halliday, Shane Black",2005-10-21,103
The Boondock Saints,1999,/movie/the-boondock-saints/,0.44,"Two Catholic vigilante killers from Boston (Flannery, Reedus) who believe they are doing God's work kill members of the Russian mob and customers of a porn shop, but instead of paying for their crimes, they are praised as ""saints"" by the local newspaper and by an odd FBI agent (Dafoe).",Troy Duffy,Troy Duffy,2000-01-21,108
Blade Runner 2049,2017,/movie/blade-runner-2049/,0.81,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K (Ryan Gosling), unearths a long-buried secret that has the potential to plunge what’s left of society into chaos. K’s discovery leads him on a quest to find Rick Deckard (Harrison Ford), a former LAPD blade runner who has been missing for 30 years.",Denis Villeneuve,"Hampton Fancher, Michael Green, Philip K. Dick",2017-10-06,164
X-Men: First Class,2011,/movie/x-men-first-class/,0.65,"X-Men: First Class, following the classic Marvel mythology, charts the epic beginning of the X-Men saga. Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were archenemies, they were closest of friends, working together, with ot...",Matthew Vaughn,"Ashley Miller, Zack Stentz, Jane Goldman, Matthew Vaughn",2011-06-03,132
Airplane!,1980,/movie/airplane!/,0.78,A straight-faced yet absurdist comedy about a burned out lovelorn ex-pilot is pressed into service when an airliner's crew succumbs to food poisoning.,"Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker, Hall Bartlett, John C. Champion, Arthur Hailey",1980-07-02,88
Slumdog Millionaire,2008,/movie/slumdog-millionaire/,0.84,"Slumdog Millionaire is the story of Jamal Malik, an 18 year-old orphan from the slums of Mumbai, who is about to experience the biggest day of his life. With the whole nation watching, he is just one question away from winning a staggering 20 million rupees on India’s “Who Wants To Be A Millionaire?”But when the show breaks for the night...","Danny Boyle, Loveleen Tandan","Simon Beaufoy, Vikas Swarup",2008-11-12,120
