title,year,link,Josh Larsen,Nick Davis,jamie loftus,Monika Kothari,crhoesing,Adam Kempenaar,Mitra Jouhari,Maia,risesinthewest,ratbathman,Caitlin Durante
Molli and Max in the Future,2023,https://letterboxd.com/film/molli-and-max-in-the-future/,,,,,,,,,,,
Alien: Romulus,2024,https://letterboxd.com/film/alien-romulus/,3.0,2.5,,,3.5,,,,,,
Sing Sing,2023,https://letterboxd.com/film/sing-sing-2023/,4.0,3.5,,,,4.0,,,,,
The Nature of Love,2023,https://letterboxd.com/film/the-nature-of-love/,,,,,,,,,,,
Oddity,2024,https://letterboxd.com/film/oddity-2024/,,,,,4.0,,,,4.0,3.5,
Hit Man,2023,https://letterboxd.com/film/hit-man-2023/,3.0,3.0,,,,4.0,,,,3.5,
Challengers,2024,https://letterboxd.com/film/challengers/,4.0,2.0,,,3.5,4.0,5.0,4.0,,,
Furiosa: A Mad Max Saga,2024,https://letterboxd.com/film/furiosa-a-mad-max-saga/,4.5,3.0,4.0,,4.0,3.5,,,,4.5,
Polite Society,2023,https://letterboxd.com/film/polite-society/,,,5.0,,,,,,,,
On the Count of Three,2021,https://letterboxd.com/film/on-the-count-of-three/,,,,,,,,,,,
The Piano,1993,https://letterboxd.com/film/the-piano/,5.0,5.0,,,,2.5,,,,,
Starship Troopers,1997,https://letterboxd.com/film/starship-troopers/,,,,,,,,,3.0,,
Jackass Forever,2022,https://letterboxd.com/film/jackass-forever/,,2.5,,,,,5.0,,,,
Happening,2021,https://letterboxd.com/film/happening/,,5.0,,,,,,,,,
Asteroid City,2023,https://letterboxd.com/film/asteroid-city/,4.0,4.0,,,3.5,4.5,,,4.5,,
Petite Maman,2021,https://letterboxd.com/film/petite-maman/,4.0,3.0,,,,5.0,,,,,
They Cloned Tyrone,2023,https://letterboxd.com/film/they-cloned-tyrone/,3.0,,,,,,,,,,
Civil War,2024,https://letterboxd.com/film/civil-war-2024/,3.5,,,,,2.5,,,3.5,4.0,
GoodFellas,1990,https://letterboxd.com/film/goodfellas/,4.5,,5.0,,4.0,5.0,5.0,,,,
Before Sunset,2004,https://letterboxd.com/film/before-sunset/,3.5,,,,,5.0,5.0,,,,5.0
All Dirt Roads Taste of Salt,2023,https://letterboxd.com/film/all-dirt-roads-taste-of-salt/,4.0,4.0,,3.5,,,,,,,
The Killer,2023,https://letterboxd.com/film/the-killer-2023/,3.5,3.0,,,,4.0,,,,,
Morvern Callar,2002,https://letterboxd.com/film/morvern-callar/,,5.0,,,,,,,,,
"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/,1.5,2.0,,,4.0,4.0,,,,,
Frances Ha,2012,https://letterboxd.com/film/frances-ha/,3.5,,,,,3.0,,,,,
The Wonderful Story of Henry Sugar,2023,https://letterboxd.com/film/the-wonderful-story-of-henry-sugar/,4.0,3.5,,,3.5,,,,,,
Love Lies Bleeding,2024,https://letterboxd.com/film/love-lies-bleeding-2024/,3.5,4.0,,,,4.0,5.0,,,3.5,
Monica,2022,https://letterboxd.com/film/monica/,,3.0,,,,,,,,,
Outlaw Johnny Black,2023,https://letterboxd.com/film/outlaw-johnny-black/,,,,,,,,,,,
The Unbearable Weight of Massive Talent,2022,https://letterboxd.com/film/the-unbearable-weight-of-massive-talent/,3.5,,,,,,,,3.0,,
No Hard Feelings,2023,https://letterboxd.com/film/no-hard-feelings-2023/,,,,1.5,,2.5,,4.0,,,
The Zone of Interest,2023,https://letterboxd.com/film/the-zone-of-interest/,4.0,3.5,4.0,,4.0,4.5,,4.5,,,
Society of the Snow,2023,https://letterboxd.com/film/society-of-the-snow/,,2.5,,,,,,,,,
El Conde,2023,https://letterboxd.com/film/el-conde/,,3.0,,,,,,,,,
Drive-Away Dolls,2024,https://letterboxd.com/film/drive-away-dolls/,2.5,,,,,,5.0,,,,
RoboCop,1987,https://letterboxd.com/film/robocop/,3.5,,,,,,,,,,
Piggy,2022,https://letterboxd.com/film/piggy-2022/,,,,,,,,,,,
Barbie,2023,https://letterboxd.com/film/barbie/,4.0,4.0,5.0,3.5,4.0,3.5,,,4.0,,
The Teachers' Lounge,2023,https://letterboxd.com/film/the-teachers-lounge-2023/,,2.5,,3.0,,4.5,,,,,
All of Us Strangers,2023,https://letterboxd.com/film/all-of-us-strangers/,4.0,1.5,,3.5,,5.0,,,,,
Casablanca,1942,https://letterboxd.com/film/casablanca/,5.0,,4.5,,4.0,4.5,,,,,
American Fiction,2023,https://letterboxd.com/film/american-fiction/,3.5,2.0,,3.0,,3.5,,4.0,5.0,,
May December,2023,https://letterboxd.com/film/may-december/,4.0,3.5,3.5,3.5,,4.0,5.0,5.0,4.5,,
Sanctuary,2022,https://letterboxd.com/film/sanctuary-2022/,,,,,,,,,,,
Anatomy of a Fall,2023,https://letterboxd.com/film/anatomy-of-a-fall/,4.0,4.5,,4.0,4.0,4.5,5.0,5.0,,,
Werewolves Within,2021,https://letterboxd.com/film/werewolves-within/,,,,,,,,,,,
The Holdovers,2023,https://letterboxd.com/film/the-holdovers/,4.0,1.0,4.0,4.0,4.0,4.5,,,,,
Violent Night,2022,https://letterboxd.com/film/violent-night/,,,,,,,,,,,
Lamb,2021,https://letterboxd.com/film/lamb-2021/,4.0,,,,,,,,3.0,,
Poor Things,2023,https://letterboxd.com/film/poor-things-2023/,3.5,2.0,4.0,2.5,,4.0,,4.0,,,
Fallen Leaves,2023,https://letterboxd.com/film/fallen-leaves-2023/,3.5,3.5,4.0,4.0,,4.0,,,,,
Master Gardener,2022,https://letterboxd.com/film/master-gardener/,2.5,2.0,,,,3.5,,,,,
Saltburn,2023,https://letterboxd.com/film/saltburn/,3.0,4.0,,3.5,4.5,,,2.0,5.0,5.0,
The Artifice Girl,2022,https://letterboxd.com/film/the-artifice-girl/,,,,,,4.0,,,,,
7 Days,2021,https://letterboxd.com/film/7-days-2021/,,,,,,,,,,,
Shiva Baby,2020,https://letterboxd.com/film/shiva-baby-2020/,3.5,2.0,,,,3.5,,3.5,,,
