Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
YOU BURN ME,2024,/movie/you-burn-me/,,"You Burn Me is an adaptation of “Sea Foam”, a chapter of Cesare Pavese’s 1947 book Dialoghi con Leucò. By the sea, the ancient Greek poet Sappho and the nymph Britomart are talking of love and death. Sappho is supposed to have thrown herself into the ocean from heartbreak. Britomart, to have accidentally fallen into the water from a clif...",Matías Piñeiro,Matías Piñeiro,2025-03-07,64
THE ANNIHILATION OF FISH,1999,/movie/the-annihilation-of-fish/,0.63,"Stumbling over the obstacles they've each created in their imaginary lives, an unlikely pair finds love and fulfillment in a reality that finally transcends their fantasies.  (American Sterling Productions)",Charles Burnett,Anthony C. Winkler,2025-02-14,108
BLUE COLLAR,1978,/movie/blue-collar/,0.77,"Three workers, Zeke (Richard Pryor), Jerry (Harvey Keitel), and Smokey (Yaphet Kotto), are working at a car plant and drinking their beers together. One night, when they steal away from their wives to have some fun, they get the idea to rob the local union's bureau safe. First they think it is a flop, because they get only six hundred do...",Paul Schrader,"Paul Schrader, Leonard Schrader, Sydney A. Glass",1978-02-10,114
THE FOUNTAIN,2006,/movie/the-fountain/,0.51,The Fountain is an odyssey about one man's eternal struggle to save the woman he loves.  (Warner Bros.),Darren Aronofsky,"Darren Aronofsky, Ari Handel",2006-11-22,96
HARDCORE,1979,/movie/hardcore-1969/,0.63,A conservative Midwest businessman ventures into the sordid underworld of pornography in California to look for his runaway teenage daughter who is making porno films in California's porno pits.,Paul Schrader,Paul Schrader,1979-01-01,108
THE CONFORMIST,1970,/movie/the-conformist-re-release/,1.0,"Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power.",Bernardo Bertolucci,"Alberto Moravia, Bernardo Bertolucci",1970-10-22,107
HUNGER,2008,/movie/hunger/,0.82,"Hunger follows life in the Maze Prison, Northern Ireland, with an interpretation of the highly emotive events surrounding the 1981 IRA Hunger Strike led by Bobby Sands. With an epic eye for detail, the film provides a timely exploration of what happens when body and mind are pushed to the uttermost limit. (IFC Films)",Steve McQueen,"Enda Walsh, Steve McQueen",2008-12-05,96
POLICE STORY,1985,/movie/police-story-1985/,0.78,A virtuous Hong Kong Police Officer must clear his good name when the drug lords he is after frame him for the murder of a dirty cop.,Jackie Chan,"Jackie Chan, Edward Tang",2018-03-09,101
AMERICAN GIGOLO,1980,/movie/american-gigolo/,0.57,"A Los Angeles male escort (Richard Gere), who mostly caters to an older female clientèle, is accused of a murder he didn't commit.",Paul Schrader,Paul Schrader,1980-02-01,117
JULIE KEEPS QUIET,2024,/movie/julie-keeps-quiet/,,"As the star player at an elite youth tennis academy, Julie’s life revolves around the game she loves. She trains hard, pausing only for class or physical therapy before returning to the gym fixated on making it into the Belgian Tennis Federation. When her coach Jérémy is suddenly suspended following the suicide of one of his female proté...",Leonardo Van Dijl,"Ruth Becquart, Leonardo Van Dijl",2025-03-28,97
RED DESERT,1964,/movie/red-desert-1964/,,"Michelangelo Antonioni’s 1960s panoramas of contemporary alienation were decade-defining artistic events, and Red Desert, his first color film, is perhaps his most epochal. This provocative look at the spiritual desolation of the technological age—about a disaffected woman, brilliantly portrayed by Antonioni muse Monica Vitti, wandering ...",Michelangelo Antonioni,"Michelangelo Antonioni, Tonino Guerra, Bruno Guillaume",2011-09-02,120
MISERICORDIA,2024,/movie/misericordia/,0.82,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man’s widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie’s short stay in the village take an unexpected turn.",Alain Guiraudie,Alain Guiraudie,2025-03-21,102
CAT PEOPLE,1982,/movie/cat-people/,0.61,"In this erotic remake of the 1942 classic, a young woman's sexual awakening brings horror when she discovers her urges transform her into a monstrous black leopard.",Paul Schrader,"DeWitt Bodeen, Alan Ormsby, Paul Schrader",1982-04-02,118
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,/movie/mishima-a-life-in-four-chapters/,0.84,A fictionalized account in four chapters of the life of celebrated Japanese writer Yukio Mishima.,Paul Schrader,"Chieko Schrader, Paul Schrader, Leonard Schrader, Jun Shiragi, Yukio Mishima",1985-09-20,120
LIGHT SLEEPER,1992,/movie/light-sleeper/,0.7,A drug dealer reconsiders his profession when his boss plans to go straight and an old flame reappears.,Paul Schrader,Paul Schrader,1992-01-01,103
GODZILLA MINUS ONE,2023,/movie/godzilla-minus-one/,0.81,"In postwar Japan, a new terror rises; Godzilla. Will the devastated people be able to survive... let alone fight back?",Takashi Yamazaki,"Takashi Yamazaki, Ishirô Honda, Takeo Murata",2023-12-01,124
FIRST REFORMED,2018,/movie/first-reformed/,0.86,"Reverend Ernst Toller (Ethan Hawke) is a solitary, middle-aged parish pastor at a small Dutch Reform church in upstate New York on the cusp of celebrating its 250th anniversary. Once a stop on the Underground Railroad, the church is now a tourist attraction catering to a dwindling congregation, eclipsed by its nearby parent church, Abund...",Paul Schrader,Paul Schrader,2018-05-18,113
LATE SPRING,1949,/movie/late-spring-1949/,0.93,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.",Yasujirô Ozu,"Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu",1972-07-21,108
THE MISSING PICTURE,2013,/movie/the-missing-picture/,0.87,"Rithy Panh uses clay figures, archival footage, and narration to revisit the atrocities committed by Cambodia's Khmer Rouge between 1975 and 1979.",Rithy Panh,"Rithy Panh, Christophe Bataille",2013-10-04,92
BOWLING FOR COLUMBINE,2002,/movie/bowling-for-columbine/,0.72,"Famed documentarian Michael Moore returns with his first feature film in five years, as he tackles the issue of America's unique obsession with firearms.",Michael Moore,Michael Moore,2002-10-11,120
TO A LAND UNKNOWN,2025,/movie/to-a-land-unknown/,0.86,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,Mahdi Fleifel,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan",,105
