Movie_ID,Title,Year,Ebert_Score
201,Johnny Mnemonic,1995,2
202,Bedazzled,2000,2
203,Black Swan,2010,3.5
204,Pokemon: The First Movie,1998,2
205,Demolition Man,1993,
206,Legend,1985,2
207,Sex Drive,2008,2
208,The Lost Boys,1987,2.5
209,Short Circuit,1986,1.5
210,Elf,2003,3
211,Sister Act,1992,2.5
212,Tommy Boy,1995,1
213,Idle Hands,1999,2.5
214,Reign of Fire,2002,1
215,Rampant,2018,
216,Sorry To Bother You,2018,3.5
217,Brokeback Mountain,2005,4
218,Amadeus,1984,4
219,Fargo,1996,4
220,Terminator,1984,
221,Terminator 2,1991,3.5
222,Shin Ultraman,2022,4
223,The Piano Teacher,2001,3.5
224,Billy Elliot,2000,3
225,Nostalgia,2022,1.5
226,Cha Cha Real Smooth,2022,3
227,Minari,2020,3.5
228,Two Days One Night,2014,2.5
229,Train to Busan,2016,3
230,Three Billboards,2017,4
231,The Love Witch,2016,3.5
232,Daughters of the Dust,1991,3
233,Dead for a Dollar,2022,3
234,Judas and the Black Messiah,2021,3
235,Nightcrawler,2014,4
236,Room,2015,3.5
237,The Lobster,2015,3.5
238,Lamb,2021,2.5
239,Quiz Lady,2023,2.5
240,Wingwomen,2023,3
241,BlackBerry,2023,3.5
242,A Real Pain,2024,4
243,The People's Joker,2022,3.5
244,Anora,2024,4
245,Hit Man,2023,3.5
246,Nickel Boys,2024,4
247,The Brutalist,2024,4
248,Hard Truths,2024,4
249,Vermiglio, 2024,3.5
250,Wallace & Gromit: Vengeance Most Fowl,2024,3.5
251,TANGERINE,2015,3
252,If Beale Street Could Talk,2018,4
253,Babygirl,2024,3.5
254,Inside the Yellow Cocoon Shell,2023,3.5
255,Nosferatu,2024,4
256,The Seed of the Sacred Fig,2024,3.5
257,La Chimera,2023,3
258,Janet Planet,2023,4
259,Small Things Like These,2024,4
260,Conclave,2024,4
261,Tangerine,2015,3
262,La Cocina,2024,3.5
263,Bird,2024,3.5
264,Do Not Expect Too Much from the End of the World,2023,3.5
265,His Three Daughters,2023,4
266,Good One,2024,4
267,Your Name,2017,3.5
268,Mad God,2021,4
269,The Substance,2024,3.5
270,Alien: Romulus,2024,3
271,The Killer,2023,3.5
272,Flow,2024,4
273,Pokemon Detective Pikachu,2019,50
274,"Three Billboards Outside Ebbing, Missouri",2017,4
275,Eyes Wide Shut,1999,3.5
276,Fish Tank,2009,4
277,"Paris, Texas",1984,4
278,Morvern Callar,2002,3.5
279,Gremlins,1984,3
280,Gladiator,2000,2
281,Howl's Moving Castle,2004,2.5
