Movie_ID,Watched_in_theater,Ebert_Score,MetaC_Score,IMDB_Score,RT_Score,Rating,anyAwesome
169,0,2.5,0.52,0.65,0.43,,0
170,0,2.5,0.56,0.53,0.49,,0
171,0,3.0,0.65,0.74,0.83,PRETTY AWESOME,1
172,0,2.0,0.52,0.73,0.72,,0
173,0,2.0,0.56,0.72,0.68,,0
174,0,,,0.75,,GREAT,0
175,0,2.5,0.72,0.75,0.86,,0
176,0,,0.44,0.76,0.26,,0
177,0,3.5,0.81,0.8,0.88,PRETTY AWESOME,1
178,0,2.5,0.65,0.77,0.86,GREAT,0
179,0,3.0,0.78,0.77,0.97,,0
180,0,4.0,0.84,0.8,0.91,GREAT,0
181,0,3.0,0.46,0.73,0.83,,0
182,0,1.0,0.35,0.53,0.32,,0
183,0,3.0,0.56,0.7,0.59,,0
184,0,3.5,0.87,0.85,0.93,GREAT,0
185,0,3.0,0.59,0.75,0.63,,0
186,0,3.5,0.57,0.69,0.69,,0
187,0,2.5,0.76,0.73,0.82,,0
188,0,2.0,0.6,0.58,0.47,,0
189,0,2.0,0.35,0.65,0.26,,0
190,0,,0.24,0.7,0.71,,0
191,0,3.5,0.68,0.83,0.76,GREAT,0
192,0,4.0,0.56,0.75,0.59,,0
193,0,3.0,0.6,0.68,0.57,,0
194,0,2.5,0.45,0.74,0.47,,0
195,0,2.5,0.82,0.79,0.94,GREAT,0
196,0,3.0,0.49,0.64,0.5,,0
197,0,2.5,0.72,0.77,0.84,,0
198,0,2.5,0.68,0.7,0.86,,0
199,0,2.5,0.66,0.76,0.77,GREAT,0
200,0,2.0,0.5,0.73,0.77,,0
201,0,2.0,0.36,0.56,0.2,,0
202,0,2.0,0.49,0.61,0.5,,0
203,0,3.5,0.79,0.8,0.85,GREAT,0
204,0,2.0,0.35,0.63,0.16,,0
205,0,,0.34,0.67,0.63,GREAT,0
206,0,2.0,0.3,0.63,0.41,,0
207,0,2.0,0.49,0.65,0.45,,0
208,0,2.5,0.63,0.72,0.77,,0
209,0,1.5,0.5,0.66,0.61,,0
210,0,3.0,0.64,0.71,0.86,,0
211,0,2.5,0.51,0.65,0.75,,0
212,0,1.0,0.46,0.71,0.4,,0
213,0,2.5,0.31,0.62,0.16,,0
214,0,1.0,0.39,0.62,0.42,,0
215,0,,,0.63,0.62,,0
216,0,3.5,0.8,0.69,0.93,PRETTY AWESOME,1
237,0,4.0,0.88,0.81,0.9,AWESOME,1
238,0,2.5,0.68,0.63,0.86,,0
