Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
MORTAL KOMBAT,1995,Paul W.S. Anderson,/movie/mortal-kombat/,Mortal Kombat,1995,Paul W.S. Anderson,0.6,101.0,"Summoned to a mysterious island, three martial arts warriors engage in the ultimate battle of good vs. evil.  (New Line Cinema)","Ed Boon, John Tobias, Kevin Droney"
IKIRU,1952,Akira Kurosawa,/movie/ikiru/,Ikiru,1956,Akira Kurosawa,0.92,143.0,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,"Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni"
RASHOMON,1950,Akira Kurosawa,/movie/rashomon/,Rashomon,1951,Akira Kurosawa,0.98,88.0,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto"
HIGH AND LOW,1963,Akira Kurosawa,/movie/high-and-low/,High and Low,1963,Akira Kurosawa,0.9,143.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita, Akira Kurosawa, Evan Hunter"
"IT'S A MAD, MAD, MAD, MAD WORLD",1963,Stanley Kramer,/movie/its-a-mad-mad-mad-mad-world/,"It's a Mad, Mad, Mad, Mad World",1963,Stanley Kramer,0.59,210.0,The dying words of a thief spark a madcap cross-country rush to find some treasure.,"William Rose, Tania Rose"
SINNERS,2025,Ryan Coogler,/movie/sinners/,Sinners,2025,Ryan Coogler,0.84,131.0,"Trying to leave their troubled lives behind, twin brothers (Michael B. Jordan) return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",Ryan Coogler
SON OF THE WHITE MARE,1981,Marcell Jankovics,/movie/son-of-the-white-mare/,Son of the White Mare,1983,Marcell Jankovics,0.9,81.0,"In this dreamlike Hungarian folk myth, a horse goddess gives birth to three powerful brothers who set out into the Underworld to save three princesses from three evil dragons and reclaim their ancestors' lost kingdom.","László György, Marcell Jankovics"
2001: A SPACE ODYSSEY,1968,Stanley Kubrick,/movie/2001-a-space-odyssey/,2001: A Space Odyssey,1968,Stanley Kubrick,0.84,141.0,"2001: A Space Odyssey is a countdown to tomorrow, a road map to human destiny, a quest for the infinite. To begin his voyage into the future, Kubrick visits our prehistoric ape-ancestry past, then leaps millenia (via one of the most mind-blowing jump cuts ever conceived) into colonized space, and ultimately whisks astronaut Bowman (Dulle...","Stanley Kubrick, Arthur C. Clarke"
DUNKIRK,2017,Christopher Nolan,/movie/dunkirk/,Dunkirk,2017,Christopher Nolan,0.94,106.0,Dunkirk opens as hundreds of thousands of British and Allied troops are surrounded by enemy forces. Trapped on the beach with their backs to the sea they face an impossible situation as the enemy closes in. [Warner Bros.],Christopher Nolan
TOP GUN: MAVERICK,2022,Joseph Kosinski,/movie/top-gun-maverick/,Top Gun: Maverick,2022,Joseph Kosinski,0.78,130.0,"After more than thirty years of service as one of the Navy’s top aviators, Pete “Maverick” Mitchell (Tom Cruise) is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him. When he finds himself training a detachment of Top Gun graduates for a specialized mission the lik...","Jim Cash, Jack Epps Jr., Peter Craig, Justin Marks"
THE DARK CRYSTAL,1982,"Jim Henson, Frank Oz",/movie/the-dark-crystal/,The Dark Crystal,1982,"Jim Henson, Frank Oz",0.66,93.0,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and so restore order to his world.","David Odell, Jim Henson"
CLEOPATRA,1963,Joseph L. Mankiewicz,/movie/cleopatra/,Cleopatra,1963,"Joseph L. Mankiewicz, Rouben Mamoulian",0.6,192.0,Queen Cleopatra of Egypt experiences both triumph and tragedy as she attempts to resist the imperial ambitions of Rome.,"Joseph L. Mankiewicz, Ranald MacDougall, Sidney Buchman, Plutarch, Suetonius, Appian, Carlo Maria Franzero, Ben Hecht"
BACKDRAFT,1991,Ron Howard,/movie/backdraft/,Backdraft,1991,Ron Howard,0.39,137.0,"Stephen McCaffrey (Russell) and his younger brother Brian (Baldwin) are two feuding siblings carrying on an heroic family tradition in the Chicago fire department. Stephen is so relentless that he drives Brian out of firefighting and into arson investigation. Brian becomes involved in a puzzling series of arson attacks, each ignited by e...",Gregory Widen
ONCE UPON A TIME IN HOLLYWOOD,2019,Quentin Tarantino,/movie/once-upon-a-time-in-hollywood/,Once Upon a Time ... in Hollywood,2019,Quentin Tarantino,0.84,161.0,"Once Upon a Time in Hollywood visits 1969 Los Angeles, where everything is changing, as TV star Rick Dalton (Leonardo DiCaprio) and his longtime stunt double Cliff Booth (Brad Pitt) make their way around an industry they hardly recognize anymore.   The ninth film from the writer-director features a large ensemble cast and multiple storyl...",Quentin Tarantino
THE ROOM,2003,Tommy Wiseau,/movie/the-room/,The Room,2003,Tommy Wiseau,0.09,99.0,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. Johnny can also be a little too trusting at times which haunts him later on. Lisa is a beautiful blonde fiancé of Johnny. She has always gotten her way and will manipulate to get what she wants. She is a taker, ...",Tommy Wiseau
JACKASS: THE MOVIE,2002,Jeff Tremaine,/movie/jackass-the-movie/,Jackass: The Movie,2002,Jeff Tremaine,0.42,87.0,"Johnny Knoxville and his crew of crazies take the concept of the MTV show ""Jackass"" - a bunch of guys doing dangerous and disturbing stunts just to see what happens - and turn it into a movie.","Jeff Tremaine, Spike Jonze, Johnny Knoxville, Bam Margera, Whitey McConnaughy, Vernon Chatman, Anne Zogby, Tim Payne"
